lemma	codlem	gen	codmorf	keep	throwLst
abiugo	V1		VmF	a0068	D0106
ablegmina	N3B	n	NcC	a0082	D0120
abnato	V1		VmF	a0097	D0138
aborior	V4		VmL	a0125	D0169
aborto	V1		VmF	a0130	D0170
abrenuntio	V1		VmF	a0139	D018F
abscedo	V3		VmH	a0147	D01B7
absento	V1		VmF	a0162	D01D6,D01D8,D01DA
absigno	V1		VmF	a0164	D01EB
absilio	V4		VmL	a0165	D01ED,D01EE,D01EF
absisto	V3		VmH	a0169	D01F0
absono	V1		VmF	a0179	D01H0
absto	V1		VmF	a0192	D01HD
absum	VA		VmN	a0200	D00C2
abundus	N2/1	*	Af-	a0213	D023D
acanthis	N3B	f	NcC	a0223	D0262
accanto	V1		VmF	a0238	D028E
acceptilatio	N3B	f	NcC	a9051	D02C5
accipiter	N3B	m	NcC	a0276	D02GD
accito	V1		VmF	a0281	D02H5
accorporo	V1		VmF	a0300	D032F
accubito	V1		VmF	a9311	D0341
acer	N3B	m	NcC	D037A	D037C,D0484
acer	N3B	n	NcC	a0335	D0483
acerbo	V1		VmF	a0342	D0384
acieris	N3B	f	NcC	a0378	D03FC
acredo	N3B	f	NcC	a0413	D0450
acritudo	N3B	f	NcC	a0418	D0467
acroama	N3B	n	NcC	a0422	D046A
acrostichis	N3B	f	NcC	a0434	D0479
adamas	N3B	m	NcC	D050H	D0510
adaudio	V4		VmL	a0511	D0537
addecimo	V1		VmF	a0522	D055G
addenso	V1		VmF	a0526	D0564
addormio	V4		VmL	a0537	D0571
adimpleo	V2		VmG	a0589	D05EC
adinuenio	V4		VmL	a0600	D05EG
adiuuamen	N3B	n	NcC	a0634	D05H8
adiuuo	V1		VmF	a0639	D05HA,D05HB,D05HC
admartyrizo	V1		VmF	a0641	D061E
admentior	V4		VmL	a0645	D0625
admigro	V1		VmF	a0648	D062D
adnicto	V1		VmF	a0707	D0670
aduelo	V1		VmF	a0768	D0722
adunco	V1		VmF	a0811	D0777,D0778,D0779
aedifex	N3B	m	NcC	a0844	D07A4
aedituus	N2	m	NcB	a0863	D07B7
aegritudo	N3B	f	NcC	a0885	D07C6
aeon	N3B	m	NcC	a0911	D07E0
aerugo	N3B	f	NcC	a0995	D080B
aes	N3B	n	NcC	a1004	D080E
aeterno	V1		VmF	a1042	D082C
affamen	N3B	n	NcC	a1066	D085G
affor	V1		VmF	a1112	D0867,D086A
agalma	N3B	n	NcC	a1126	D0941,D0942,D0943,D0940
agaso	N3B	m	NcC	a1131	D095H
aggarrio	V4		VmL	a1139	D0999
agger	N3B	m	NcC	a1145	D099D
agino	V1		VmF	a1169	D09CH
agmen	N3B	n	NcC	a1179	D09EA
agnile	N3B	n	NcC	a1193	D09FG
agon	N3B	m	NcC	a1211	D09H1
albo	V1		VmF	a1299	D0B4E,D0B4F
albugo	N3B	f	NcC	a1305	D0BA5
alcedo	N3B	f	NcC	a1314	D0BC5
aleo	N3B	m	NcC	a1331	D0BGA
ales	N3B	2	NcC	a1332	D0BH3
aletudo	N3B	f	NcC	a1335	D0BH9
alica	N1	f	NcA	a1350	D0C55
alimma	N3B	n	NcC	a1368	D0C7E
alito	V1		VmF	a1379	D0CAD
alitudo	N3B	f	NcC	a1380	D0CB7
allacto	V1		VmF	a1387	D0CD0
allecto	V1		VmF	a1398	D0CE6
allegorizo	V1		VmF	a1408	D0CFB
allus	N2	m	NcB	a1443	D0D7G
alopecis	N3B	f	NcC	a1465	D0DFH
altero	V1		VmF	a1495	D0E55
altifico	V1		VmF	a1508	D0E6H
altitudo	N3B	f	NcC	a1522	D0E80
alucinatio	N3B	f	NcC	a1535	D0E99
alumen	N3B	n	NcC	a1548	D0EB9,D0EBA
amarifico	V1		VmF	a1579	D0EHB
amaturio	V4		VmL	a1600	D0F2A
ambages	N3B	f	NcC	a1605	D0F2H
ambitudo	N3B	f	NcC	a8631	D0F71
ambulatrix	N3B	f	NcC	a1649	D0FAA
ames	N3B	m	NcC	a1664	D0FD8
amnis	N3B	m	NcC	a1704	D0G49
amphora	N1	f	NcA	a1757	D0GB6,D0GB7
ampullor	V1		VmF	a1786	D0GE8
ancile	N3B	n	NcC	a1915	D0H8A
ancon	N3B	m	NcC	a1926	D0HAE
angulus	N2	m	NcB	a2004	D1058
anima	N1	f	NcA	a2028	D107E,D107D
animal	N3B	n	NcC	a2034	D1081
anno	V1		VmF	a7061	D10B1
antapocha	N1	f	NcA	a2382	D1125
antecurro	V3		VmH	a2124	D113C
antemurale	N3B	n	NcC	a2152	D1161
antes	N3B	m	NcC	a2172	D1180
antesto	V1		VmF	a2176	D1186
anteuio	V1		VmF	a2184	D118F
anthemis	N3B	f	NcC	a2188	D1191
antiphora	N1	f	NcA	a3726	D11F3
antisigma	N3B	n	NcC	a2257	D11G9
antistes	N3B	2	NcC	a2264	D11H1
anulare	N3B	n	NcC	a2945	D122A
anxior	V1		VmF	a2299	D1236
apalus	N2/1	*	Af-	a2310	D1250
aperio	V4		VmL	a2322	D127G,D127H
apex	N3B	m	NcC	a2331	D1290,D1291,D1292
apexabo	N3B	f	NcC	a2332	D1293
apinor	V1		VmF	a2364	D12BE
aplustre	N3B	n	NcC	a2375	D12D3
apocarteresis	N3B	f	NcC	a2378	D12D9
apocha	N1	f	NcA	a2381	D12DB
apocho	V1		VmF	a2384	D12DD
apoculo	V1		VmF	a2395	D12EA
aporia	N1	f	NcA	a2426	D12H8,D12H9
apostema	N3B	n	NcC	a2441	D130F,D130G
apotheco	V1		VmF	a2453	D132G,D132H
applico	V1		VmF	a2508	D13AG,D13AH
appropio	V1		VmF	a2543	D13FG
approprio	V1		VmF	a2545	D13G2,D13G3,D13G4
approximo	V1		VmF	a2546	D13GA
apsis	N3B	f	NcC	a2568	D1416
aptitudo	N3B	f	NcC	a2574	D1424
archiereus	N2	m	NcB	a2707	D1589
archipirata	N1	m	NcA	a2717	D15BA
archisacerdos	N3B	m	NcC	a2720	D15CC
archon	N3B	m	NcC	a2735	D15EF
arcuo	V1		VmF	a2763	D15HA
ardeo	V2		VmG	a2767	D1610,D160G,D160H
argema	N3B	n	NcC	a2783	D167B
argumentor	V1		VmF	a2806	D169E
armicustos	N3B	m	NcC	a2871	D171A
aromatizo	V1		VmF	a2901	D1766,D1767,D1765
arrabo	N3B	m	NcC	a2908	D1795
ars	N3B	f	NcC	a2934	D1800,D1803,D17HH
artio	V4		VmL	a2967	D1881
ascio	V1		VmF	a3027	D18F8
ascio	V4		VmL	a2285	D18G4
asma	N3B	n	NcC	a3060	D193H
aspergo	N3B	f	NcC	a3076	D1961
aspredo	N3B	f	NcC	a3104	D1980
