lemma	codlem	gen	codmorf	keep	throwLst
abscedo	V3		VmH	a0147	D01B7
absisto	V3		VmH	a0169	D01F0
absum	VA		VmN	a0200	D00C2
abundus	N2/1	*	Af-	a0213	D023D
acanthis	N3B	f	NcC	a0223	D0262
acceptilatio	N3B	f	NcC	a9051	D02C5
accipiter	N3B	m	NcC	a0276	D02GD
acer	N3B	m	NcC	D037A	D037C,D0484
acer	N3B	n	NcC	a0335	D0483
acieris	N3B	f	NcC	a0378	D03FC
adamas	N3B	m	NcC	D050H	D0510
aedituus	N2	m	NcB	a0863	D07B7
aeon	N3B	m	NcC	a0911	D07E0
aes	N3B	n	NcC	a1004	D080E
affor	V1		VmF	a1112	D0867,D086A
agalma	N3B	n	NcC	a1126	D0941,D0942,D0943,D0940
agger	N3B	m	NcC	a1145	D099D
agon	N3B	m	NcC	a1211	D09H1
alcedo	N3B	f	NcC	a1314	D0BC5
ales	N3B	2	NcC	a1332	D0BH3
alica	N1	f	NcA	a1350	D0C55
allus	N2	m	NcB	a1443	D0D7G
alopecis	N3B	f	NcC	a1465	D0DFH
alucinatio	N3B	f	NcC	a1535	D0E99
ambages	N3B	f	NcC	a1605	D0F2H
ames	N3B	m	NcC	a1664	D0FD8
amnis	N3B	m	NcC	a1704	D0G49
amphora	N1	f	NcA	a1757	D0GB6,D0GB7
ancon	N3B	m	NcC	a1926	D0HAE
angulus	N2	m	NcB	a2004	D1058
animal	N3B	n	NcC	a2034	D1081
antapocha	N1	f	NcA	a2382	D1125
antecurro	V3		VmH	a2124	D113C
antes	N3B	m	NcC	a2172	D1180
antistes	N3B	2	NcC	a2264	D11H1
apalus	N2/1	*	Af-	a2310	D1250
apocarteresis	N3B	f	NcC	a2378	D12D9
apocha	N1	f	NcA	a2381	D12DB
apsis	N3B	f	NcC	a2568	D1416
archiereus	N2	m	NcB	a2707	D1589
archipirata	N1	m	NcA	a2717	D15BA
archisacerdos	N3B	m	NcC	a2720	D15CC
archon	N3B	m	NcC	a2735	D15EF
ardeo	V2		VmG	a2767	D160H,D1610,D160G
armicustos	N3B	m	NcC	a2871	D171A
ars	N3B	f	NcC	a2934	D1800,D1803,D17HH
aspergo	N3B	f	NcC	a3076	D1961
asterias	N1	m	NcA	a3225	D1AB1
attibernalis	N3B	m	NcC	a3353	D1B7C
auis	N3B	f	NcC	a3502	D1CCC
auris	N3B	f	NcC	a3569	D1D4D,D1D4E
bacar	N3B	n	NcC	b0010	D1E75
baditis	N3B	f	NcC	b0035	D1EG7
barbarismus	N2	m	NcB	b0118	D1H1F
benedico	V3		VmH	b9256	D21G2
benefacio	V5		VmM	b9257	D21H1
benefactum	N2	n	NcB	b9259	D21H5,D21H4
beneplaceo	V2		VmG	b9270	D220A
beneplacitum	N2	n	NcB	b9271	D220B,D220C
bex	N3B	f	NcC	b0293	D22FD
biber	N3B	f	NcC	b0299	D22HD
bidental	N3B	n	NcC	b0341	D2367
bolis	N3B	f	NcC	b0506	D25G2
brigantes	N3B	m	NcC	b0634	D2911
cado	V3		VmH	c0061	D2CF0
caius	N2	m	NcB	D2D48	D2D49
calcar	N3B	n	NcC	c0178	D2D99,D2D9A,D2D9B
callis	N3B	2	NcC	c0263	D2E69
calx	N3B	f	NcC	c0302	D2EBC
canon	N3B	m	NcC	c0429	D2GB2,D2GB3,D2GAG,D2GB0,D2GB1
canthus	N2	m	NcB	c0456	D2GH3
capis	N3B	f	NcC	c0502	D2HC7,D2HC8
capparis	N3B	f	NcC	c0532	D3051
caput	N3B	n	NcC	c0592	D30DF
carcer	N3B	m	NcC	c0608	D312A
cardo	N3B	m	NcC	c0633	D314B,D314C
castor	N3B	m	NcC	c0783	D3428,D3429
catabolenses	N3B	m	NcC	c0802	D3467
catechesis	N3B	f	NcC	c0861	D34B7
cauefacio	V5		VmM	c0948	D359B
celtis	N3B	f	NcC	c1092	D36A9
character	N3B	m	NcC	c1386	D38CB
charaxo	V1		VmF	c1390	D38D3
charta	N1	f	NcA	c1396	D3908,D3909,D3907
chartopola	N1	m	NcA	c1405	D391A
chartula	N1	f	NcA	c1407	D391E
chartus	N2	m	NcB	c1396	D3924
chlamys	N3B	f	NcC	c1463	D39G6
choragus	N2	m	NcB	c1485	D3A08
chorda	N1	f	NcA	c1489	D3A0F
chorus	N2	m	NcB	c1506	D3A2E,D3A2F,D3A2G,D3A2H,D3A2D
chroma	N3B	n	NcC	c1515	D3A51
cicuticen	N3B	m	NcC	c1601	D3AAC
classis	N3B	f	NcC	c2051	D3CA0,D3CA1,D3CA2
cochlea	N1	f	NcA	c2252	D3E05,D3E06
cohors	N3B	f	NcC	c2335	D3EF3
colophon	N3B	m	NcC	c2498	D3FHG
commater	N3B	f	NcC	c2620	D3GE6
commentariensis	N3B	m	NcC	c2649	D3H05,D3H06
compesco	V3		VmH	c2832	D3HEF
concha	N1	f	NcA	c2998	D4096,D4097,D4098,D4099,D4095,D409A
concrepo	V1		VmF	c3081	D40F3
concurialis	N3B	m	NcC	c3111	D40G4
consiliaris	N3B	m	NcC	c6530	D430F
consipio	V5		VmM	c3541	D431D
consisto	V3		VmH	c3543	D431F
consul	N3B	m	NcC	c3648	D438D,D4389,D438A,D438B,D438C
contradico	V3		VmH	c3787	D4421
conuenio	V4		VmL	c3872	D44A4,D44A5
cothurnosus	N2/1	*	Af-	c4204	D47A4
cothurnus	N2	m	NcB	c4205	D47A5
crasis	N3B	f	NcC	c4241	D4848
crater	N3B	m	NcC	c4264	D485E,D485F
crinio	V4		VmL	c4359	D4930
crinis	N3B	m	NcC	c4360	D4931
crisis	N3B	f	NcC	c4366	D4948
crocis	N3B	f	NcC	c4395	D498G
cubile	N3B	n	NcC	c4487	D4A4C,D4A4B
cuiusmodi	I		X--	c4532	D4AB3
cutis	N3B	f	NcC	c4762	D4CBB
cyceon	N3B	m	NcC	c4775	D4CD0
cyclas	N3B	f	NcC	c4779	D4CD2
decachordus	N2/1	*	Af-	d0116	D4DH3
desisto	V3		VmH	d0981	D4HFE
deuoluo	V3		VmH	d1176	D50CE
deus	N2	m	NcB	d1193	D50E3
dioecesis	N3B	f	NcC	d1632	D5267,D5268
diplois	N3B	f	NcC	d1650	D5277
disco	V3		VmH	d1724	D52DE
draco	N3B	m	NcC	d2206	D55H7,D55H8,D55H9
duellis	N3B	m	NcC	d2291	D56D5
dumtaxat	I		X--	d2324	D56H2
ecbasis	N3B	f	NcC	e0032	D579G
echenais	N3B	f	NcC	e0042	D57BF
eiulito	V1		VmF	e9236	D58C4
elephantus	N2	m	NcB	e0311	D58H9
emaneo	V2		VmG	e0400	D595H
embasis	N3B	f	NcC	e0417	D5971
emolo	V3		VmH	e0486	D59DH
enthymesis	N3B	f	NcC	e0638	D5ACA
epaphaeresis	N3B	f	NcC	e0680	D5AF5
epidipnis	N3B	f	NcC	e0725	D5B02
epidixis	N3B	f	NcC	e0726	D5B03
epigramma	N3B	n	NcC	e0728	D5B08
era	N1	f	NcA	e0843	D5BC0,D5BC1,D5BBG,D5BBH
erctum	N2	n	NcB	e0852	D5BDB
eritudo	N3B	f	NcC	e0898	D5BH8
eruca	N1	f	NcA	e0930	D5C30
erus	N2	m	NcB	e0843	D5C42
ethos	N3B	n	NcC	e1009	D5E40
exanthema	N3B	n	NcC	e1230	D5F0F
exarchus	N2	m	NcB	e1236	D5F1D
excandefacio	V5		VmM	e1278	D5F54
eximo	V3		VmH	e1497	D5GA5
exochas	N3B	f	NcC	e1518	D5GDH
exomologesis	N3B	f	NcC	e1528	D5GE9
falx	N3B	f	NcC	f0146	D61D6
feminalia	N3B	n	NcC	f1349	D636G
femoralia	N3B	n	NcC	f1349	D6375
femur	N3B	n	NcC	f0347	D6379
flos	N3B	m	NcC	f0703	D6717
follis	N3B	m	NcC	f0788	D67HB,D67HC,D67HE
fornax	N3B	f	NcC	f0870	D694F
fors	N3B	f	NcC	f0881	D6985
fustis	N3B	m	NcC	f1256	D6DH1,D6DH2
futis	N3B	f	NcC	f1261	D6DHE
