lemma	codlem	gen	codmorf	keep	throwLst
abiugo	V1		VmF	a0068	D0106
abnato	V1		VmF	a0097	D0138
aborior	V4		VmL	a0125	D0169
aborto	V1		VmF	a0130	D0170
abrenuntio	V1		VmF	a0139	D018F
absento	V1		VmF	a0162	D01D6,D01D8,D01DA
absigno	V1		VmF	a0164	D01EB
absilio	V4		VmL	a0165	D01ED,D01EE,D01EF
absono	V1		VmF	a0179	D01H0
absto	V1		VmF	a0192	D01HD
accanto	V1		VmF	a0238	D028E
accito	V1		VmF	a0281	D02H5
accorporo	V1		VmF	a0300	D032F
accubito	V1		VmF	a9311	D0341
acerbo	V1		VmF	a0342	D0384
adaudio	V4		VmL	a0511	D0537
addecimo	V1		VmF	a0522	D055G
addenso	V1		VmF	a0526	D0564
addormio	V4		VmL	a0537	D0571
adimpleo	V2		VmG	a0589	D05EC
adinuenio	V4		VmL	a0600	D05EG
adiuuo	V1		VmF	a0639	D05HA,D05HB,D05HC
admartyrizo	V1		VmF	a0641	D061E
admentior	V4		VmL	a0645	D0625
admigro	V1		VmF	a0648	D062D
adnicto	V1		VmF	a0707	D0670
aduelo	V1		VmF	a0768	D0722
adunco	V1		VmF	a0811	D0777,D0778,D0779
aeterno	V1		VmF	a1042	D082C
aggarrio	V4		VmL	a1139	D0999
agino	V1		VmF	a1169	D09CH
albo	V1		VmF	a1299	D0B4E,D0B4F
alito	V1		VmF	a1379	D0CAD
allacto	V1		VmF	a1387	D0CD0
allecto	V1		VmF	a1398	D0CE6
allegorizo	V1		VmF	a1408	D0CFB
altero	V1		VmF	a1495	D0E55
altifico	V1		VmF	a1508	D0E6H
amarifico	V1		VmF	a1579	D0EHB
amaturio	V4		VmL	a1600	D0F2A
ampullor	V1		VmF	a1786	D0GE8
anno	V1		VmF	a7061	D10B1
antesto	V1		VmF	a2176	D1186
anteuio	V1		VmF	a2184	D118F
anxior	V1		VmF	a2299	D1236
aperio	V4		VmL	a2322	D127G,D127H
apinor	V1		VmF	a2364	D12BE
apocho	V1		VmF	a2384	D12DD
apoculo	V1		VmF	a2395	D12EA
apotheco	V1		VmF	a2453	D132G,D132H
applico	V1		VmF	a2508	D13AG,D13AH
appropio	V1		VmF	a2543	D13FG
approprio	V1		VmF	a2545	D13G2,D13G3,D13G4
approximo	V1		VmF	a2546	D13GA
arcuo	V1		VmF	a2763	D15HA
argumentor	V1		VmF	a2806	D169E
aromatizo	V1		VmF	a2901	D1766,D1767,D1765
artio	V4		VmL	a2967	D1881
ascio	V1		VmF	a3027	D18F8
ascio	V4		VmL	a2285	D18G4
assiduo	V1		VmF	a3162	D1A1C,D1A1D
assolido	V1		VmF	a3187	D1A78
assolo	V1		VmF	a3188	D1A73,D1A72
assummo	V1		VmF	a3203	D1A86
asto	V1		VmF	a3239	D1AA1
attermino	V1		VmF	a3345	D1B6F,D1B6G
attitulo	V1		VmF	a3365	D1B94,D1B95,D1B96,D1B97,D1B98
attono	V1		VmF	a3370	D1B9F
aucto	V1		VmF	a3416	D1BFE
augifico	V1		VmF	a3472	D1C89
augmento	V1		VmF	a3478	D1C8D
augusto	V1		VmF	a3491	D1C9H
auroro	V1		VmF	a3577	D1D5G
aurugino	V1		VmF	a3580	D1D66
autumno	V1		VmF	a3627	D1DCB,D1DCC
baiulo	V1		VmF	b0046	D1F52,D1F51
ballo	V1		VmF	b0074	D1FEH,D1FF0,D1FF1
balneo	V1		VmF	b9075	D1G03,D1G02
barbarizo	V1		VmF	b0119	D1H22
barrio	V4		VmL	b0146	D1HG3
bombilo	V1		VmF	b0514	D260B
bubino	V1		VmF	b0662	D2A0F
busto	V1		VmF	b0765	D2BC6
butio	V4		VmL	b0775	D2BFE
caballico	V1		VmF	c0005	D2C3H
cacillo	V1		VmF	c0035	D2CC9
calculo	V1		VmF	c0209	D2DF3
cambio	V1		VmF	c0311	D2EFB
