lemma	codlem	gen	codmorf	keep	throwLst
aba	N1	f	NcA	D000D	D000E
abacinus	N2/1	*	Af-	a0002	D0011
abactor	N3B	m	NcC	a0005	D0015,D0016
abacus	N2	m	NcB	a0006	D0017,D0018,D0019
abaliud	I		X--	a0016	D0022
abamita	N1	f	NcA	a0019	D0024
abante	I		X--	a0020	D002C
abarca	N1	f	NcA	D002E	D002F
abarceo	V2		VmG	a0021	D002H
abasso	V1		VmF	D0039	D003A
abbadia	N1	f	NcA	D0052	D0053
abbatia	N1	f	NcA	a0011	D005C
abbatitura	N1	f	NcA	D005F	D005G
abbreuiator	N3B	m	NcC	a0029	D007A
abbreuio	V1		VmF	a0030	D0078
abdico	V1		VmF	a0034	D008D,D008E,D008F,D008G
abduco	V3		VmH	a0040	D009F,D009G
abductio	N3B	f	NcC	a9040	D009H
abecedarius	N2/1	*	Af-	a0041	D00A6
abemo	V3		VmH	a0042	D00B1
abergo	V1		VmF	D00BE	D00BF
aberro	V1		VmF	a0046	D00BH
abeuragium	N2	n	NcB	D00CE	D00CF
abicio	V5		VmM	a0053	D00E6,D00E7,D00E8
abiectio	N3B	f	NcC	a0054	D00EE
abietarius	N2	m	NcB	a0058	D00F3
abiga	N1	f	NcA	a0059	D00F5
abigeator	N3B	m	NcC	a0060	D00F9
abigeus	N2	m	NcB	a0062	D00G2
abigo	V3		VmH	a0063	D00FF,D00FG,D00G0
abinde	I		X--	a0064	D00GE
abita	N1	f	NcA	D00HG	D00HH
abitio	N3B	f	NcC	a0065	D0101
abiudico	V1		VmF	a0067	D0102,D0103,D0104
abiuratio	N3B	f	NcC	a0070	D010D,D010C
abiuro	V1		VmF	a0073	D010A,D010B
ablactatio	N3B	f	NcC	a0074	D0112
ablacto	V1		VmF	a0075	D0111
ablaqueo	V1		VmF	a0077	D0116
ablatiuus	N2/1	*	Af-	a0079	D011B
ablator	N3B	m	NcC	a0080	D011C
ablegatio	N3B	f	NcC	a0081	D011H
ablingo	V3		VmH	a0089	D012B
abluo	V3		VmH	a9091	D012G,D012H
ablutio	N3B	f	NcC	a0092	D0133
abluuio	N3B	f	NcC	a0094	D0135
abnegatio	N3B	f	NcC	a0098	D013A
abnego	V1		VmF	a0101	D0139
abnormis	N3A	*	Af-	a0106	D013D
abnormitas	N3B	f	NcC	a0107	D013E
abocator	N3B	m	NcC	D0140	D0141
abolefio	VA		VmN	a0144	D0147
aboleo	V2		VmG	a0116	D014A
abolesco	V3		VmH	a1752	D014B
abolla	N1	f	NcA	a0119	D014E
abomagium	N2	n	NcB	D014H	D0150
abominamentum	N2	n	NcB	a0121	D0152
abominatio	N3B	f	NcC	a9958	D0154,D0155,D0156
abominosus	N2/1	*	Af-	a0123	D0158
abonagium	N2	n	NcB	D0159	D015A
abono	V1		VmF	D015C	D015E,D015D
abortio	V4		VmL	a0127	D0173
abortiuus	N2/1	*	Af-	a0129	D0174
abpatruus	N2	m	NcB	a0132	D017E
abra	N1	f	NcA	a9132	D0180,D0181,D017G,D017H
abrodo	V3		VmH	a0141	D019D
abrogo	V1		VmF	a0143	D019G
abscessio	N3B	f	NcC	a0148	D01BA
abscido	V3		VmH	a0149	D01BD
abscisio	N3B	f	NcC	a0151	D01C2
absens	N3A	*	Af-	D01D2	D01D4
absida	N1	f	NcA	D01E0	D01E1,D01E6,D01E2,D01E3,D01E4,D01E5
absidatus	N2/1	*	Af-	a0163	D01E7
abso	V1		VmF	D01B1	D01B2,D01B3,D01B4
absoluo	V3		VmH	a0178	D01F9,D01FA,D01FD,D01F8
absolutio	N3B	f	NcC	a0174	D01G0,D01G1,D01G2,D01G3,D01FH
absolutorium	N2	n	NcB	a0177	D01GC
absonus	N2/1	*	Af-	a0180	D01H2
absorbeo	V2		VmG	a0181	D01H3
absque	I		X--	a0183	D01H9
abstantia	N1	f	NcA	a0186	D01HC
abstemius	N2/1	*	Af-	a0185	D01HF
abstergo	V3		VmH	a2302	D0204,D0205
absterreo	V2		VmG	a0188	D0208
abstinax	N3A	*	Af-	a0189	D020D
abstinentia	N1	f	NcA	a0190	D020E,D020F
abstineo	V2		VmG	a0191	D020G,D020H
abstollo	V3		VmH	a0193	D0215
abstractio	N3B	f	NcC	a0194	D0217
absum	VA		VaN	D00C1	D00C2
abundantia	N1	f	NcA	a0210	D0238,D0239
abusio	N3B	f	NcC	a0214	D0240,D023H
abusor	N3B	m	NcC	a0216	D0242
abusus	N4	m	NcD	a9986	D0243
abutor	V3		VmH	a0217	D0247,D0248
abyssus	N2	f	NcB	a9217	D024G
acacia	N1	f	NcA	a0218	D0251
acapito	V1		VmF	D0267	D0268
acaptis	N3B	m	NcC	D026H	D0270
acatus	N2	m	NcB	D0280	D0281
accasia	N1	f	NcA	D0297	D0298
acceia	N1	f	NcA	a0241	D02AA
accendo	V3		VmH	a0245	D02AD
accensi	N2	m	NcB	D02B1	D02B2
accensor	N3B	m	NcC	a0251	D02B5,D02B6
accentus	N4	m	NcD	a9987	D02BB
accepta	N1	f	NcA	a0255	D02BE
acceptabilis	N3A	*	Af-	a9256	D02BG
acceptabulum	N2	n	NcB	D02C0	D02C1,D02DG
acceptator	N3B	m	NcC	a0254	D02C3,D02C4
