lemma	codlem	gen	codmorf	NoLemLat	NoLiLaL	NoLiLaH	NoB	NoO	NoD	LemLatLST	LiLaLST
abdara	N1	f	NpA	2	1	0	0	2	0	43884(129),43883(128)	lemma/1639
abobrica	N1	f	NpA	2	1	0	0	2	0	44004(378),44003(377)	lemma/9101
aborigines	N3B	m	NpC	2	1	0	0	2	0	44018(411),44017(410)	lemma/10248
aborigineus	N2/1	*	Af-	2	1	0	1	1	0	44019(412),152(a0124)	lemma/86960
acanthius	N2/1	*	Af-	2	1	0	1	1	0	44141(718),264(a0222)	lemma/87063
achilleis	N3B	f	NpC	2	1	0	0	2	0	44342(1148),44343(1149)	lemma/855
actaeus	N2/1	*	Af-	2	1	0	1	1	0	44526(1455),506(a0438)	lemma/87299
adonidius	N2/1	*	Af-	2	1	0	1	1	0	44729(2120),841(a0469)	lemma/87334
adonius	N2/1	*	Af-	2	1	0	1	1	0	44733(2127),843(a0649)	lemma/87520
aegeates	N3B	m	NpC	2	1	0	0	2	0	44893(2581),44892(2580)	lemma/5076
aeneas	N1	m	NpA	2	1	0	0	2	0	45027(2770),45028(2771)	lemma/5675
aeolicus	N2/1	*	Af-	2	1	0	1	1	0	45061(2817),1065(a9963)	lemma/91146
aequoreus	N2/1	*	Af-	2	1	0	1	1	0	45102(2938),1122(a0963)	lemma/87871
aeschyleus	N2/1	*	Af-	2	1	0	1	1	0	1173(a3720),45138(3038)	lemma/90921
aeternus	N2/1	*	Af-	2	1	0	1	1	0	1215(a1043),45180(3134)	lemma/87961
agapetus	N2/1	*	Af-	2	1	0	1	1	0	45280(3387),1318(a1129)	lemma/88051
agapomenus	N2	m	NpB	2	1	0	0	2	0	45281(3388),45282(3389)	lemma/7422
agonius	N2/1	*	Af-	2	1	0	1	1	0	1423(a1212),45411(3666)	lemma/88144
alabarches	N1	m	NpA	2	1	0	0	2	0	45521(3863),45520(3862)	lemma/9529
alcaicus	N2/1	*	Af-	2	1	0	1	1	0	45626(4046),1530(a3722)	lemma/90923
alcmanicus	N2/1	*	Af-	2	1	0	1	1	0	45671(4101),1538(a3723)	lemma/90924
alcmanius	N2/1	*	Af-	2	1	0	1	1	0	1539(a3724),45672(4103)	lemma/90925
alcyoneus	N2/1	*	Af-	2	1	0	1	1	0	45683(4115),1543(a2389)	lemma/89478
alexander	N2	m	NpB	2	1	0	0	2	0	45734(4186),45735(4187)	lemma/10328
algidus	N2/1	*	Af-	2	1	0	1	1	0	45767(4226),1565(a1340)	lemma/88301
alsius	N2/1	*	Af-	2	1	0	1	1	0	45876(4578),1743(a1477)	lemma/88450
amara	N1	f	NpA	2	1	0	0	2	0	45968(4810),45969(4811)	lemma/12381
amardus	N2	m	NpB	2	1	0	0	2	0	45979(4826),45978(4825)	lemma/12434
amazon	N3B	f	NpC	2	1	0	0	2	0	46026(4908),46027(4909)	lemma/12959
ambitrebius	N2/1	*	Af-	2	1	0	1	1	0	46059(4987),1914(a8630)	lemma/91014
ambrosialis	N3A	*	Af-	2	1	0	1	1	0	46079(5022),1923(a1638)	lemma/88630
amoenus	N2/1	*	Af-	2	1	0	1	1	0	2019(a1710),46215(5287)	lemma/88710
