codlem	gen	codmorf	LiLaRef	n_id	lemma	Throw_n_id	Throw_lemma	chk
N3B	m	NcC	lemma/86838	a0013	abba	D0056	abbas	OK
V3		VmH	lemma/87382	a0516	adbibo	D006E	abbibo	OK
N3B	n	NcC	lemma/86866	a0039	abdomen	D00A2	abdumen	OK
V3		VmH	lemma/88044	a1122	afluo	D00D2	abfluo	OK
I		X--	lemma/90905	a3700	ab-intus	D00H2	abintus	OK
I		X--	lemma/90906	a3701	ab-inuicem	D00H3	abinuicem	OK
V4		VmL	lemma/86919	a0086	abligurrio	D0128	abligurio	OK
V1		VmF	lemma/87587	a0710	adnodo	D013C	abnodo	OK
N4	m	NcD	lemma/86965	a0128	abortus	D016G	aborsus	OK
N		NcP	lemma/26327	D018E	abreiscep	D0196	abreyscep	NO
V1		VmF	lemma/90805	a3588	ausculto	D01CC	absculto	OK
N2	n	NcB	lemma/88231	a1281	apsinthium	D01EG	absinthium	OK
N3B	f	NcC	lemma/89674	a2568	apsis	D01EH	absis	OK
V1		VmF	lemma/90273	a3101	asporto	D01H8	absporto	OK
N2	n	NcB	lemma/88231	a1281	apsinthium	D022A	absynthium	OK
N3A	*	Af-	lemma/26478	D00HD	abissalis	D024D	abyssalis	NO
V1		VmF	lemma/26810	D03B6	achapto	D026E	acapto	NO
N2	m	NcB	lemma/26524	D027B	acatapanus	D027E	acathapanus	NO
N2	n	NcB	lemma/87075	a0232	acation	D027G	acatium	OK
N1	f	NcA	lemma/87085	a0241	acceia	D02E3	accia	OK
N1	f	NcA	lemma/87176	a0330	acedia	D02F5	accidia	NO
N2	m	NcB	lemma/26802	D0258	acaliculus	D03AG	achaliculus	NO
N2	n	NcB	lemma/26809	D026D	acaptamentum	D03B5	achaptamentum	NO
N3B	m	NcC	lemma/26509	D026F	acaptator	D03B7	achaptator	NO
N2	m	NcB	lemma/26821	D0280	acatus	D03C2	achatus	NO
N2	n	NcB	lemma/87211	a0360	acetum	D03CE	achetum	NO
N1	f	NcA	lemma/87226	a0374	acia	D03CG	achia	NO
N2	m	NcB	lemma/87238	a0385	acinus	D03D8	achinus	NO
N2	m	NcB	lemma/87249	a0395	acoluthus	D03DH	acholytus	NO
N1	f	NcA	lemma/87297	a0436	acta	D03E4	achta	NO
N1	f	NcA	lemma/87321	a0458	acucula	D03F4	acicula	OK
N1	f	NcA	lemma/87176	a0330	acedia	D03F6	acidia	OK
N2	m	NcB	lemma/87249	a0395	acoluthus	D040E	acoletus	OK
N2	m	NcB	lemma/87249	a0395	acoluthus	D040G	acolitus	OK
N2	m	NcB	lemma/87249	a0395	acoluthus	D040H	acolytus	NO
