abbas,abbas,abba/abbas,N3B,a0013,m,NcC
abbas,abbas,abbas,N3B,108,m,NpC
abbas,abbas,abbas,N3B,D0056,m,NcC
abbas,abbas,abbo,V1,a0027,,VmF
abbas,abbas,abba,N1,D004F,m,NcA
abbas,abbas,abba,N1,D004E,f,NcA
abbibo,abbibo,adbibo,V3,a0516,,VmH
abbibo,abbibo,abbibo,V3,D006E,,VmH
abdumen,abdumen,abdomen,N3B,a0039,n,NcC
abdumen,abdumen,abdumen,N3B,D00A2,n,NcC
abfluo,abfluo,afluo,V3,a1122,,VmH
abfluo,abfluo,abfluo,V3,D00D2,,VmH
abintus,abintus,ab-intus,I,a3700,,X--
abintus,abintus,abintus,I,D00H2,,X--
abinuicem,abinuicem,ab-inuicem,I,a3701,,X--
abinuicem,abinuicem,abinuicem,I,D00H3,,X--
abligurio,abligurio,abligurrio,V4,a0086,,VmL
abligurio,abligurio,abligurio,V4,D0128,,VmL
abnodo,abnodo,adnodo,V1,a0710,,VmF
abnodo,abnodo,abnodo,V1,D013C,,VmF
aborsus,aborsus,aborior,V4,a0125,,VmL
aborsus,aborsus,abortus,N4,a0128,m,NcD
aborsus,aborsus,aborsus,N4,D016G,m,NcD
abreyscep,abreyscep,abreyscep,N,D0196,,NcP
absculto,absculto,ausculto,V1,a3588,,VmF
absculto,absculto,absculto,V1,D01CC,,VmF
absinthium,absinthium,apsinthius,N2,a1279,m,NcB
absinthium,absinthium,apsinthium,N2,a1281,n,NcB
absinthium,absinthium,absinthium,N2,D01EG,n,NcB
absis,absis,apsis,N3B,a2568,f,NcC
absis,absis,absis,N3B,D01EH,f,NcC
absis,absis,absum,VA,a0200,,VmN
absis,absis,absus,N2,a0206,m,NcB
absis,absis,abse,N3B,D01CE,n,NcC
absis,absis,absus,N2/1,D0228,*,Af-
absis,absis,absa,N1,D01AH,f,NcA
absporto,absporto,asporto,V1,a3101,,VmF
absporto,absporto,absporto,V1,D01H8,,VmF
absynthium,absynthium,apsinthium,N2,a1281,n,NcB
absynthium,absynthium,absynthium,N2,D022A,n,NcB
abyssalis,abyssalis,abyssalis,N3A,D024D,*,Af-
acapto,acapto,acaptum,N2,D0271,n,NcB
acapto,acapto,acapto,V1,D026E,,VmF
acathapanus,acathapanus,acathapanus,N2,D027E,m,NcB
acatium,acatium,acation/-um,N2,a0232,n,NcB
acatium,acatium,acatius,N2,749,m,NpB
acatium,acatium,acatium,N2,D027G,n,NcB
accado,accado,acci'do,V3,a0268,,VmH
accado,accado,accado,V3,D0286,,VmH
accedo,accedo,accedo,V3,a0240,,VmH
accedo,accedo,acci'do,V3,a0268,,VmH
accia,accia,acceia,N1,a0241,f,NcA
accia,accia,accia,N1,D02E3,f,NcA
accidia,accidia,accidia,N1,D02F5,f,NcA
accido,accido,acci'do,V3,a0268,,VmH
accido,accido,acci"do,V3,a0269,,VmH
achaliculus,achaliculus,achaliculus,N2,D03AG,m,NcB
achaptamentum,achaptamentum,achaptamentum,N2,D03B5,n,NcB
achaptator,achaptator,achaptator,N3B,D03B7,m,NcC
achaptator,achaptator,achapto,V1,D03B6,,VmF
achatus,achatus,achatus,N2,D03C2,m,NcB
achetum,achetum,acheta/-as,N1,a0367,m,NcA
achetum,achetum,achetus,N2,1138,m,NpB
achetum,achetum,achetum,N2,D03CE,n,NcB
achia,achia,achia,N1,D03CG,f,NcA
achinus,achinus,achinus,N2,D03D8,m,NcB
acholytus,acholytus,acholytus,N2,D03DH,m,NcB
achta,achta,achta,N1,D03E4,f,NcA
acicula,acicula,acucula,N1,a0458,f,NcA
acicula,acicula,acicula,N1,D03F4,f,NcA
acidia,acidia,acedia,N1,a0330,f,NcA
acidia,acidia,acidia,N1,D03F6,f,NcA
acidia,acidia,acidius,N2/1,1219,*,Af-
acoletus,acoletus,acoluthus,N2,a0395,m,NcB
acoletus,acoletus,acoletus,N2,D040E,m,NcB
acolitus,acolitus,acoluthus,N2,a0395,m,NcB
acolitus,acolitus,acolitus,N2,D040G,m,NcB
acolytus,acolytus,acolytus,N2,D040H,m,NcB
acora,acora,achora,N1,a0370,f,NcA
acora,acora,acoron/-um/-os,N2,a0404,3,NcB
acora,acora,acora,N1,D041H,f,NcA
acrifolium,acrifolium,aquifolius,N2/1,a1326,*,Af-
acrifolium,acrifolium,aquifolium,N2,a1373,n,NcB
acrifolium,acrifolium,acrifolium,N2,D0458,n,NcB
acroma,acroma,acroama,N3B,a0422,n,NcC
acroma,acroma,acroma,N3B,D0471,n,NcC
acroma,acroma,acromon,N2,D0475,n,NcB
acua,acua,aqua,N1,a2585,f,NcA
acua,acua,acua,N1,D04D1,f,NcA
acuydamentum,acuydamentum,acuydamentum,N2,D04GF,n,NcB
acuydo,acuydo,acuydo,V1,D04GG,,VmF
acyralis,acyralis,acyralis,N3A,D04H0,*,Af-
acysterium,acysterium,acysterium,N2,D04H1,n,NcB
adbreuio,adbreuio,abbreuio,V1,a0030,,VmF
adbreuio,adbreuio,adbreuio,V1,D053E,,VmF
adcensa,adcensa,adcenso,V1,D0543,,VmF
adcensa,adcensa,adcensa,N1,D0542,f,NcA
adclamo,adclamo,acclamo,V1,a0283,,VmF
adclamo,adclamo,adclamo,V1,D054E,,VmF
adcognosco,adcognosco,accognosco,V3,a0291,,VmH
adcognosco,adcognosco,adcognosco,V3,D0553,,VmH
adcorporo,adcorporo,accorporo,V1,a0300,,VmF
adcorporo,adcorporo,adcorporo,V1,D0558,,VmF
addicio,addicio,addicio,N3B,D056C,f,NcC
adequo,adequo,adequo,V1,D0589,,VmF
adero,adero,adsum,VA,a0761,,VmN
adero,adero,adero,V1,D058F,,VmF
adfaber,adfaber,affaber,N2/1,a1060,*,Af-
adfaber,adfaber,adfaber,N2/1,D0599,*,Af-
adfatio,adfatio,adfatio,N3B,a1067,f,NcC
adfatio,adfatio,adfatio,N3B,D059C,f,NcC
adfectuosus,adfectuosus,affectuosus,N2/1,a1078,*,Af-
adfectuosus,adfectuosus,adfectuosus,N2/1,D059H,*,Af-
adfigo,adfigo,affigo,V3,a1084,,VmH
adfigo,adfigo,adfigo,V3,D05A6,,VmH
adfiguro,adfiguro,affiguro,V1,a1085,,VmF
adfiguro,adfiguro,adfiguro,V1,D05A7,,VmF
adflo,adflo,afflo,V1,a1105,,VmF
adflo,adflo,adflo,V1,D05A9,,VmF
adforo,adforo,adforo,V1,D05AA,,VmF
adfurcillo,adfurcillo,affurcillo,V1,a1120,,VmF
adfurcillo,adfurcillo,adfurcillo,V1,D05AG,,VmF
adgeniculor,adgeniculor,aggeniculor,V1,a1144,,VmF
adgeniculor,adgeniculor,adgeniculor,V1,D05B0,,VmF
adglutino,adglutino,agglutino,V1,a1154,,VmF
adglutino,adglutino,adglutino,V1,D05B6,,VmF
adgnascor,adgnascor,agnascor,V3,a1183,,VmH
adgnascor,adgnascor,adgnascor,V3,D05B8,,VmH
adgrauo,adgrauo,aggrauo,V1,a1157,,VmF
adgrauo,adgrauo,adgrauo,V1,D05BA,,VmF
adlego,adlego,allego,V1,a1403,,VmF
adlego,adlego,allego,V3,a1404,,VmH
adlego,adlego,adlego,V1,D0602,,VmF
adleuio,adleuio,alleuio,V1,a1414,,VmF
adleuio,adleuio,adleuio,V1,D060A,,VmF
admentatio,admentatio,amentatio,N3B,a1661,f,NcC
admentatio,admentatio,admentatio,N3B,D0624,f,NcC
admentum,admentum,ammentum,N2,a1695,n,NcB
admentum,admentum,admentum,N2,D0626,n,NcB
adminiculor,adminiculor,adminiculo/-or,V1,a0653,,VmF
adminiculor,adminiculor,adminiculor,V1,D062G,,VmF
adnatio,adnatio,adnatio,N3B,a1185,f,NcC
adnatio,adnatio,adnatio,N3B,D066E,f,NcC
adnihilo,adnihilo,annihilo,V1,a2059,,VmF
adnihilo,adnihilo,adnihilo,V1,D0672,,VmF
adnullo,adnullo,annullo,V1,a2071,,VmF
adnullo,adnullo,adnullo,V1,D0679,,VmF
adolescentior,adolescentior,adolesco,V3,a0471,,VmH
adolescentior,adolescentior,adolesco,V3,a0727,,VmH
adolescentior,adolescentior,adulescentior,V1,a0807,,VmF
adolescentior,adolescentior,adolescentior,V1,D0687,,VmF
adolescentulus,adolescentulus,adulescentulus,N2,a1681,m,NcB
adolescentulus,adolescentulus,adulescentulus/-os,N2/1,a1347,*,Af-
adolescentulus,adolescentulus,adolescentulus,N2,D0688,m,NcB
adorea,adorea,adoreus,N2/1,a2263,*,Af-
adorea,adorea,adoreum,N2,a2248,n,NcB
adorea,adorea,adoria,N1,a0750,f,NcA
adorea,adorea,adorea,N1,D069F,f,NcA
adorio,adorio,adoreum,N2,a2248,n,NcB
adorio,adorio,adorior/-io,V4,a0751,,VmL
adorio,adorio,adorio,V4,D06A2,,VmL
adplaudo,adplaudo,applaudo,V3,a2504,,VmH
adplaudo,adplaudo,adplaudo,V3,D06B4,,VmH
adplaudo,adplaudo,adplaudo,V3,D06B4,,VmH
adplene,adplene,applene,I,a2506,,X--
adplene,adplene,adplene,I,D06B5,,X--
adplico,adplico,applico,V1,a2508,,VmF
adplico,adplico,adplico,V1,D06B7,,VmF
adpodio,adpodio,adpodio,V1,D06B8,,VmF
adpono,adpono,appono,V3,a2513,,VmH
adpono,adpono,adpono,V3,D06B9,,VmH
adprehendo,adprehendo,apprehendo,V3,a2523,,VmH
adprehendo,adprehendo,adprehendo,V3,D06BE,,VmH
adpretio,adpretio,appretio,V1,a2527,,VmF
adpretio,adpretio,adpretio,V1,D06BF,,VmF
adpropinquo,adpropinquo,appropinquo,V1,a2542,,VmF
adpropinquo,adpropinquo,adpropinquo,V1,D06C3,,VmF
adpropio,adpropio,appropio,V1,a2543,,VmF
adpropio,adpropio,adpropio,V1,D06C2,,VmF
adproprio,adproprio,approprio,V1,a2545,,VmF
adproprio,adproprio,adproprio,V1,D06C4,,VmF
adque,adque,atque,I,a3301,,X--
adque,adque,adque,I,D06C8,,X--
adque,adque,adque,I,D06C7,,X--
adque,adque,ad,I,a0479,,X--
adque,adque,at,I,a0547,,X--
adquiesco,adquiesco,acquiesco,V3,a0406,,VmH
adquiesco,adquiesco,adquiesco,V3,D06C9,,VmH
adrodo,adrodo,arrodo,V3,a2924,,VmH
adrodo,adrodo,adrodo,V3,D06EB,,VmH
adsalio,adsalio,assilio,V4,a3171,,VmL
adsalio,adsalio,adsalio,V4,D06F1,,VmL
adscriptio,adscriptio,adscriptio,N3B,a3036,f,NcC
adscriptio,adscriptio,adscriptio,N3B,D06F6,f,NcC
adsectatio,adsectatio,adsectatio,N3B,a3114,f,NcC
adsectatio,adsectatio,adsectatio,N3B,D06F9,f,NcC
adsectator,adsectator,assectator,N3B,a3115,m,NcC
adsectator,adsectator,adsectator,N3B,D06FA,m,NcC
adsectator,adsectator,assector,V1,a3116,,VmF
adsello,adsello,assello/-or,V1,a3123,,VmF
adsello,adsello,adsello,V1,D06FD,,VmF
adsentatio,adsentatio,adsentatio,N3B,a3128,f,NcC
adsentatio,adsentatio,adsentatio,N3B,D06FH,f,NcC
adsertor,adsertor,assertor,N3B,a6142,m,NcC
