c{+h+}a	170
c[-h-]i	42
r[-a-]e	33
c{+h+}e	30
c[-h-]o	27
[-a-]e	27
t{+h+}e	18
t{+h+}a	17
c[-h-]u	16
c[-a-]e	16
i[-c-]{+t+}i	13
t[-h-]o	12
a[-i-]{+y+}s	12
p{+h+}a	11
l[-a-]e	11
t[-h-]i	10
c{+h+}i	10
c{+h+}o	9
a[-t-]{+c+}i	9
a[-i-]{+y+}r	9
t[-h-]u	7
c{+h+}u	7
c[-h-]r	7
a[-i-]{+y+}n	7
u[-a-]e	6
t[-h-]e	6
p[-h-]u	6
p[-h-]i	6
h{+a+}e	6
h[-a-]e	6
e[-i-]{+y+}a	6
c[-h-]a	6
p[-i-]{+y+}r	5
p[-a-]e	5
l[-i-]{+y+}p	5
[-i-]{+y+}d	5
e[-i-]{+y+}t	5
e[-i-]{+y+}r	5
d[-a-]e	5
a[-i-]{+y+}t	5
t[-y-]{+i+}r	4
t{+h+}i	4
r[-h-]o	4
m[-a-]e	4
i[-t-]{+c+}i	4
e[-i-]{+y+}s	4
c[-i-]{+y+}r	4
a[-i-]{+y+}d	4
u[-i-]{+y+}a	3
t[-h-]r	3
t[-h-]a	3
r{+h+}e	3
r{+h+}a	3
l[-i-]{+y+}t	3
h[-y-]{+i+}m	3
[-h-]u	3
f[-i-]{+y+}r	3
c[-y-]{+i+}c	3
c[-h-]l	3
c[-h-]e	3
c[-a-]{+h+}e	3
a[-i-]{+y+}u	3
x{+s+}c	2
u[-t-]{+c+}i	2
u[-i-]{+y+}d	2
u{+a+}e	2
t[-i-]{+y+}r	2
t[-i-]{+y+}m	2
t{+h+}r	2
t{+h+}o	2
t[-a-]e	2
s[-y-]{+i+}n	2
s[-y-]{+i+}m	2
s[-y-]{+i+}l	2
[-s-]{+x+}c	2
s[-a-]e	2
r[-y-]{+i+}l	2
r{+r+}e	2
r[-i-]{+y+}m	2
p[-y-]{+i+}r	2
p[-i-]{+y+}c	2
p[-h-]o	2
p[-h-]a	2
[-o-]{+u+}r	2
o[-i-]{+y+}s	2
o[-i-]{+y+}o	2
