LiLaRef	LemLatLST	lemmaLST	codlemLST	genLST	codmorfLST
lemma/100241	98065(D56H0),13169(d2322)	dumicola	N1	2,f	NcA
lemma/100257	53027(27166),13188(d2341)	duodecimus	N2/1	*	Af-,Ao-
lemma/100327	97934(D575G),13260(d2409)	dux	N3B	2,m	NcC
lemma/100353	97691(D55D2),97714(D55EB),13028(d7193)	dorsum,dorsus,dossus	N2	1,m	NcB
lemma/100354	97693(D55CH),97713(D55EA),13028(d7193)	dorsum,dossum	N2	1,n	NcB
lemma/100505	98236(D579B),13306(e0025)	ebulum	N2	3,n	NcB
lemma/101354	99342(D5B8H),14218(e0820)	eques	N3B	2,m	NcC
lemma/101962	150584(D5G0G),14874(e1416)	exedo	V3,VA		VmH,VmN
lemma/10266	45694(4136),45693(4136)	alecto	N2	f	NpB,NpC
lemma/103198	54515(32936),15949(f0444)	festus	N2,N2/1	*,m	Af-,NpB
lemma/103330	102678(D65E5),16092(f0559)	firmamentum,firmamentus	N2	1,m	NcB
lemma/103331	102679(D65E1),16092(f0559)	firmamentum	N2	1,n	NcB
lemma/103617	103548(D68C6),16402(f0819)	forfex	N3B	2,m	NcC
lemma/104029	104769(D6D4B),16861(f1189)	funis	N3B	2,m	NcC
lemma/104197	101987(D638G),15842(f9350)	fendo	V,V3		VmH
lemma/104264	105287(D6ECB),16974(g0018)	galbanum	N2	3,n	NcB
lemma/104266	84538(D2D8C),16976(g0020)	calbeus,galbeus	N2	1,m	NcB
lemma/104295	105315(D6EE6),17000(g0043)	galerus	N2	1,m	NcB
lemma/104780	106928(D7224),17482(g0475)	grabatum,grabatus	N2	1,n	NcB
lemma/105061	70736(D01A4),70738(D01A7),17744(h0020)	abrotanum,abrothanum,habrotonum	N2	3,n	NcB
lemma/105371	108703(D77HF),18058(h0291)	herediolum	N2	1,n	NcB
lemma/105377	108115(D7626),108701(D7825),18064(h0297)	haeres,heres	N3B	2,m	NcC
lemma/105488	108982(D78GC),18169(h0392)	hin	N	,n	NcP
lemma/105645	56544(38539),18329(h0538)	honestus	N2,N2/1	*,m	Af-,NpB
lemma/105704	109287(D79HB),18387(h0589)	horreum	N2	1,n	NcB
lemma/105757	109354(D7A6G),18442(h0639)	hostis	N3B	2,m	NcC
lemma/105849	109641(D7B2D),18540(h0730)	hymnus	N2	1,m	NcB
lemma/10687	57533(44378),112584(D8494)	israel	N	m	NcP,NpP
lemma/107320	111017(D7G65),20030(i1246)	index	N3B	2,m	NcC
lemma/108241	111887(D81E9),21016(i2110)	instar	N	,n	NcP
lemma/108593	112147(D82EF),21393(i2443)	interpres	N3B	2,m	NcC
lemma/10878	57322(44733),112416(D83H3)	ioel	N	m	NcP,NpP
lemma/109199	112724(D84H9),22062(i3024)	iugulum,iugulus	N2	1,m	NcB
lemma/109200	112725(D84H8),22062(i3024)	iugulum	N2	1,n	NcB
lemma/109202	112688(D84HA),22063(i3025)	iugum	N2	1,n	NcB
lemma/109212	112748(D850F),22073(i3033)	iumentum	N2	1,n	NcB
lemma/109275	57702(45050),22155(i3093)	iuuenalis	N3A,N3B	*,m	Af-,NpC
lemma/109447	111253(D7H37),20330(i8519)	infas	N	,n	NcP
lemma/109634	113270(D86DB),22232(l0038)	labyrinthus	N2	1,m	NcB
lemma/109889	113753(D8862),22470(l0252)	lapathum,lapatium	N2	3,n	NcB
lemma/110277	114527(D8AGD),22863(l0581)	lepus	N3B	2,n	NcC
lemma/111484	116742(D90GB),24017(m0272)	mane	N	,n	NcP
lemma/111593	117369(D9270),24129(m0370)	marathrum,marathus	N2	1,m	NcB
lemma/111650	117766(D93D5),24185(m0414)	martyr	N3B	2,m	NcC
lemma/111654	117802(D93F7),24189(m0418)	mascarpio	N3B	2,m	NcC
lemma/112131	118877(D979A),24652(m0811)	meridies	N5	2,f	NcE
lemma/112189	119032(D9837),24706(m0857)	messis	N3B	2,f	NcC
lemma/112248	119193(D98AA),24758(m0907)	metreta	N1	2,f	NcA
lemma/112616	119934(D9B25),25122(m1245)	molo	V1,V3		VmF,VmH
lemma/113309	117086(D9183),24050(m9981)	manna	N	,n	NcP
lemma/113397	121375(D9G01),25858(n0053)	nasus	N2	1,m	NcB
lemma/113435	121507(D9G5H),25900(n0082)	naucum	N2	1,n	NcB
lemma/113508	62165(55479),26333(n0145)	nonus	N2/1	*	Af-,Ao-
lemma/113638	121770(D9H41),26122(n0261)	neuter	N2/1,PR	*	Af-,Pu-
lemma/113646	121779(D9H4D),26133(n0269)	nexo	V1,V3		VmF,VmH
lemma/113886	122128(DA089),26401(n0574)	nouenus	N2/1	*	Ad-,Ao-
lemma/113910	122167(DA0AG),26423(n0596)	nubes	N3B	2,f	NcC
lemma/114081	122218(DA0DH),26481(n0776)	nullus	N2/1,PR	*	Af-,Pu-
lemma/114415	122519(DA1EC),26846(o0230)	obses	N3B	2,m	NcC
lemma/114474	122541(DA1G8),26906(o0281)	obstrigillus	N2	1,m	NcB
