LiLaRef	LemLatLST	genLST
lemma/100241	98065(D56H0),13169(d2322)	2,f
lemma/100327	97934(D575G),13260(d2409)	2,m
lemma/100505	98236(D579B),13306(e0025)	3,n
lemma/101354	99342(D5B8H),14218(e0820)	2,m
lemma/103331	102679(D65E1),16092(f0559)	1,n
lemma/103617	103548(D68C6),16402(f0819)	2,m
lemma/104029	104769(D6D4B),16861(f1189)	2,m
lemma/104264	105287(D6ECB),16974(g0018)	3,n
lemma/104295	105315(D6EE6),17000(g0043)	1,m
lemma/105371	108703(D77HF),18058(h0291)	1,n
lemma/105488	108982(D78GC),18169(h0392)	,n
lemma/105704	109287(D79HB),18387(h0589)	1,n
lemma/105757	109354(D7A6G),18442(h0639)	2,m
lemma/105849	109641(D7B2D),18540(h0730)	1,m
lemma/107320	111017(D7G65),20030(i1246)	2,m
lemma/108241	111887(D81E9),21016(i2110)	,n
lemma/108593	112147(D82EF),21393(i2443)	2,m
lemma/109200	112725(D84H8),22062(i3024)	1,n
lemma/109202	112688(D84HA),22063(i3025)	1,n
lemma/109212	112748(D850F),22073(i3033)	1,n
lemma/109447	111253(D7H37),20330(i8519)	,n
lemma/109634	113270(D86DB),22232(l0038)	1,m
lemma/110277	114527(D8AGD),22863(l0581)	2,n
lemma/111484	116742(D90GB),24017(m0272)	,n
lemma/111650	117766(D93D5),24185(m0414)	2,m
lemma/111654	117802(D93F7),24189(m0418)	2,m
lemma/112131	118877(D979A),24652(m0811)	2,f
lemma/112189	119032(D9837),24706(m0857)	2,f
lemma/112248	119193(D98AA),24758(m0907)	2,f
lemma/113309	117086(D9183),24050(m9981)	,n
lemma/113397	121375(D9G01),25858(n0053)	1,m
lemma/113435	121507(D9G5H),25900(n0082)	1,n
lemma/113910	122167(DA0AG),26423(n0596)	2,f
lemma/114415	122519(DA1EC),26846(o0230)	2,m
lemma/114474	122541(DA1G8),26906(o0281)	1,m
lemma/115053	123024(DA3A9),27499(o0815)	2,m
lemma/115157	123069(DA3E0),27603(o0906)	2,f
lemma/115772	123834(DA74D),28153(p0177)	1,m
lemma/115838	124127(DA7D6),28216(p0232)	1,m
lemma/115854	124272(DA7GB),28232(p0243)	1,m
lemma/115883	124395(DA83C),28259(p0268)	1,m
lemma/115901	124429(DA85G),28277(p0285)	3,f
lemma/115923	124474(DA883),28298(p0305)	1,m
lemma/116020	124662(DA914),28390(p0382)	1,m
lemma/116217	125233(DAAHC),28600(p0562)	1,n
lemma/116490	125905(DAD42),28901(p0799)	1,m
lemma/116561	125842(DADA4),28974(p0858)	2,f
lemma/117182	126290(DAEBG),29600(p1459)	1,n
lemma/117831	127059(DAH3H),30265(p2066)	1,m
lemma/118222	128000(DB260),30665(p2401)	1,m
lemma/118294	128268(DB338),30741(p2464)	f,m
lemma/118395	128321(DB393),30844(p2546)	3,n
lemma/118507	128600(DB463),30954(p2644)	1,n
lemma/119202	129287(DB6D2),31683(p3284)	2,m
lemma/119414	129428(DB759),31893(p3481)	1,n
lemma/120418	130685(DBBBA),32943(p4433)	1,m
lemma/120467	130783(DBBGD),32991(p4478)	1,n
lemma/120602	131006(DBCC9),33133(p4606)	1,m
lemma/120656	131056(DBCF3),33188(p4657)	1,m
lemma/120737	127122(DAH7G),30278(p7081)	f,m
lemma/120791	125559(DAC63),28808(p9709)	2,f
lemma/120847	130850(DBC40),33047(p9871)	1,n
lemma/121813	135041(DC9AF),35105(r0441)	2,f
lemma/122153	134503(DC7H2),34969(r0782)	1,m
