lemmaNorm	codlem	gen	codmorf	keep	LiLaRef	throwLst
a	I		X--	a0001	lemma/86824	6
aduersus	I		X--	a0795	lemma/87681	D074G
aera	N1	f	NcA	a0966	lemma/87874	D07GF,D07GG,D07GH,D07H0,D07H1
aera	N1	f	NcA	a2283	lemma/89356	D07GF,D07GG,D07GH,D07H0,D07H1
aetherius	N2/1	*	Af-	3152	lemma/27811	D082G
agna	N1	f	NcA	a1182	lemma/88109	D09EH,D09F0
agonia	N1	f	NcA	a1212	lemma/88145	D09H5,D09H6
agonia	N1	f	NcA	a3741	lemma/90941	D09H5,D09H6
an	I		X--	a1816	lemma/88828	D0GG5
annus	N2	m	NcB	a2077	lemma/89129	D10G8
ara	N1	f	NcA	D149E	lemma/105157	D149F
ara	N1	f	NcA	a2625	lemma/89737	D149F
arcula	N1	f	NcA	a2703	lemma/89829	D15HH,D1600
assis	N3B	m	NcC	D1A42	lemma/90172	D1A43,D1A44
assis	N3B	m	NcC	D1A42	lemma/90884	D1A43,D1A44
at	I		X--	a0547	lemma/87415	D1AF9
atta	N1	m	NcA	a3325	lemma/90518	D1B38
atta	N1	m	NcA	a3399	lemma/90595	D1B38
auia	N1	f	NcA	a3493	lemma/90697	D1CAH
auia	N1	f	NcA	a3628	lemma/90855	D1CAH
aula	N1	f	NcA	a3506	lemma/90715	D1CDD,D1CDE,D1CDF,D1CDG,D1CDH,D1CE0,D1CE1,D1CE2,D1CE3,D1CE4
aula	N1	f	NcA	a3672	lemma/90903	D1CDD,D1CDE,D1CDF,D1CDG,D1CDH,D1CE0,D1CE1,D1CE2,D1CE3,D1CE4
axiculus	N2	m	NcB	a3659	lemma/90889	D1DFB
bacca	N1	f	NcA	D1E78	lemma/91191	D1E79,D1E7A
bacca	N1	f	NcA	b0038	lemma/91231	D1E79,D1E7A
baia	N1	f	NcA	b0041	lemma/91234	D1F1A,D1F1B,D1F1C
baia	N1	f	NcA	b0283	lemma/91503	D1F1A,D1F1B,D1F1C
