LiLaRef	LemLatLST	lemmaLST
hypolemma/106785	129572(DB7D1),31673(p3275)	praesentialiter,presentialiter
hypolemma/76700	78240(D1AA9),17885(h0139)	astatus,hastatus
hypolemma/78056	81734(D2460),42535(u0883)	bittatus,uittatus
hypolemma/83207	96061(D4GFE),11580(d0795)	depennatus,depinnatus
lemma/100027	97402(D54E9),12880(d2120)	do'lium,dolium
lemma/100032	97431(D54EH),12944(d2125)	dolo,dolon
lemma/100088	98068(D56HB),13013(d2180)	donum,dunum
lemma/100150	97857(D5650),13068(d2234)	dromos,dromus
lemma/100243	98075(D56HA),13171(d2324)	dumtaxat,duntaxat
lemma/100333	96989(D52G1),13266(d2415)	discolus,dyscolus
lemma/100334	97038(D531D),13267(d2416)	disenteria,dysenteria
lemma/100490	98239(D579C),13292(e0011)	eboratus,eburatus
lemma/100552	99368(D5BBE),13365(e0070)	eculeus,equuleus
lemma/100563	147882(D5FHB),13376(e0081)	edico,exdico
lemma/100577	98306(D57EB),13279(e0095)	e"do,edo
lemma/100663	100611(D5G6E),13489(e0172)	effractor,exfractor
lemma/100673	98441(D585F),13501(e0181)	effugacio,effugatio
lemma/100705	106247(D6HF7),13531(e0211)	egero,gero
lemma/100709	98465(D587E),13536(e0215)	egestosus,egestuosus
lemma/100757	78094(D1A0B),14401(e0261)	assidarius,essedarius
lemma/100768	98566(D58EC),13610(e0272)	electarium,electuarium
lemma/100770	72276(D07CD),13612(e0274)	aelectio,electio
lemma/100772	98553(D58DG),13608(e0276)	ele'cto,electo
lemma/100792	98604(D58GD),13637(e0295)	elementicius,elementitius
lemma/100821	147752(D5907),13664(e0318)	eli"bero,elibero
lemma/100879	108575(D77A7),13722(e0370)	elucus,helucus
lemma/101007	98825(D59E1),13850(e0488)	emolimentum,emolumentum
lemma/101090	98940(D5A38),13939(e0568)	enchiridion,enchiridium
lemma/101128	99032(D5A98),13987(e0602)	enneadicus,enneaticus
lemma/101155	98959(D5A4H),14015(e0628)	endelechia,entelechia
lemma/101184	100623(D5G7G),14875(e0656)	exedra,exhedra
lemma/101224	99139(D5AG8),99298(D5B7E),14078(e0700)	ephibata,epibata,epybata
lemma/101245	99153(D5AH4),14099(e0719)	epiciclus,epicyclus
lemma/101271	99302(D5B80),14128(e0744)	epimenia,epymenia
lemma/101286	99203(D5B25),14144(e0757)	epiraedium,epirhedium
lemma/101320	99309(D5B87),14177(e0787)	epitogium,epythogium
lemma/101327	99275(D5B66),14184(e0794)	epitritos,epitritus
lemma/101350	99293(D5B78),14212(e0817)	epulo,epulor
lemma/101357	99327(D5B9B),14221(e0823)	equifer,equiferus
lemma/101378	108625(D77D6),14245(e0843)	era,hera
lemma/101389	108684(D77GH),14254(e0852)	erctum,herctum
lemma/101425	108773(D7844),14288(e0885)	erilis,herilis
lemma/101487	108671(D77G2),14351(e0945)	eruilia,herbilia
lemma/101497	108634(D77G7),14360(e0956)	eruum,herbum
lemma/101546	100114(D5E3B),14420(e1002)	ethica,ethice
lemma/101769	152779(D5F03),14661(e1219)	examurco,examurgo
lemma/101888	147852(D5F6A),14795(e1333)	excaudico,excodico
lemma/101979	147907(D5GAG),14894(e1432)	exentero,exintero
lemma/102006	147824(D5EG2),14921(e1457)	exalo,exhalo
lemma/102015	150953(D5G79),14931(e1466)	exhaeredo,exheredo
lemma/102016	100617(D5G7A),14932(e1467)	exhaeres,exheres
lemma/102099	149201(D5GF7),15024(e1547)	exorcidio,exorcizo
lemma/102165	100780(D5H35),15096(e1604)	experio,experior
lemma/102181	100789(D5H42),15105(e1620)	expi"lo,expilo
lemma/102268	99379(D5BC5),15206(e1707)	eradicitus,exradicitus
lemma/102285	152353(D5FDB),15224(e1724)	excreo,exscreo
lemma/102290	100520(D5FHH),15229(e1729)	execo,exseco
lemma/102292	100522(D5G02),15231(e1731)	execrabilitas,exsecrabilitas
lemma/102297	152462(D5G03),15236(e1736)	execror,exsecror
lemma/102301	100526(D5G09),15239(e1739)	executio,exsecutio
lemma/102305	100575(D5G3D),15243(e1742)	exequiae,exsequiae
lemma/102321	150055(D5GAH),15258(e1757)	exinuo,exsinuo
lemma/102331	100734(D5H01),15270(e1767)	expectabilis,exspectabilis
lemma/102332	100739(D5H07),15271(e1768)	expectatio,exspectatio
lemma/102335	100737(D5H05),15274(e1771)	expecto,exspecto
lemma/102348	98297(D57DA),100918(D5HDB),15288(e1783)	ecstasis,exstasis,extasis
lemma/102349	100939(D5HF2),15289(e1784)	exsterno,externo
lemma/102359	147955(D5HG3),15301(e1794)	exstirpo,extirpo
lemma/102375	100902(D5HC7),15423(e1808)	exsulatio,exulatio
lemma/102387	147970(D6039),15326(e1819)	exsupero,exupero
lemma/102481	100901(D5HC6),15422(e1905)	exsulaticius,exulaticius
lemma/102487	147966(D5HB4),101012(D602F),15429(e1910)	exsolo,exulo
lemma/102520	98553(D58DG),13606(e1937)	ele"cto,electo
lemma/102522	147752(D5907),13665(e1939)	eli'bero,elibero
lemma/102526	100789(D5H42),15106(e1943)	expi'lo,expilo
lemma/102616	98979(D5A63),13961(e9584)	energema,energima
lemma/102689	100915(D5HD8),15287(e9990)	exstantia,extantia
lemma/102700	101972(D6384),15541(f0001)	faenarius,fenarius
lemma/102738	101100(D608D),15486(f0032)	fabulo,fabulor
lemma/102741	101097(D608A),15447(f0035)	fa'bula,fabula
lemma/102799	101988(D63A0),15549(f0087)	faeneus,feneus
lemma/102806	102014(D63A8),15554(f0092)	faenile,fenile
lemma/102824	101290(D6127),101291(D6128),101292(D6129),126681(DAG00),15572(f0106)	fala,phala
lemma/102825	101290(D6127),101291(D6128),101292(D6129),15588(f0107)	fala,falla
lemma/102827	126692(DAG0B),15574(f0109)	falarica,phalarica
lemma/102875	101469(D61FA),15624(f0153)	fames,famis
lemma/102904	101648(D625E),15702(f0181)	farsura,fartura
lemma/102934	102146(D6404),15682(f0208)	farrago,ferrago
lemma/103008	101775(D62D4),15448(f0270)	fa'tuor,fatuor
lemma/103012	101775(D62D4),15446(f0274)	fa"tuor,fatuor
lemma/103027	101807(D62FC),15779(f0288)	fauitor,fautor
lemma/103036	104371(D6B9G),16607(f0297)	frigdarium,frigidarium
lemma/103062	101925(D6354),15811(f0321)	feles,felis
lemma/103088	101958(D637B),15839(f0347)	femur,femus
lemma/103093	102286(D6483),15844(f0352)	fenestra,festra
lemma/103162	102055(D63CC),15910(f0411)	ferctum,fertum
lemma/103192	102756(D6612),15943(f0438)	festuca,fistuca
lemma/103212	103233(D67BD),15950(f0456)	feta,foeta
lemma/103218	102340(D64C0),102786(D662G),15968(f0460)	fibla,fibula,fixula
lemma/103296	102524(D654B),16054(f0528)	fileia,filia
lemma/103303	101924(D6352),16062(f0535)	felicula,filicula
lemma/103360	104443(D6BEF),16125(f0586)	fitilla,fritilla
lemma/103388	152356(D6A6B),16155(f0613)	flagro,fraglo
lemma/103406	103279(D67EG),16357(f0626)	foleum,folium
lemma/103510	103104(D6743),16288(f0722)	fluidus,fluuidus
lemma/103522	103927(D6A0B),16491(f0732)	fossa,fotsa
lemma/103539	103157(D6772),16316(f0749)	focacius,focatius
lemma/103542	101789(D62E9),148002(D677B),16324(f0751)	faucillo,focilo
lemma/103565	102298(D649B),16348(f0771)	fetutina,foetutina
lemma/103612	104896(D6D72),16394(f0814)	forceps,furceps
lemma/103639	103657(D691F),16428(f0841)	formicabilis,formicalis
lemma/103676	103725(D695D),16467(f0876)	fornico,fornicor
lemma/103736	152356(D6A6B),16527(f0931)	fraglo,fragro
lemma/103765	102932(D66BC),16559(f0959)	flaxo,fraxo
lemma/103788	104303(D6B71),16562(f0980)	fre'tum,fretum
lemma/103821	148872(D6BBH),16624(f1010)	friguttio,fringulirre
lemma/103895	104624(D6C84),16705(f1071)	frustro,frustror
lemma/103898	104623(D6C8A),16708(f1074)	frustrum,frustum
lemma/103920	104681(D6CBF),16734(f1095)	fugela,fugella
lemma/103934	104697(D6CCE),16751(f1107)	fulchrum,fulcrum
lemma/103950	104692(D6CCA),104696(D6CCD),16767(f1119)	fulca,fulcha,fulica
lemma/104023	104845(D6D43),16855(f1184)	fungo,fungor
lemma/104041	104888(D6D73),16871(f1200)	furca,furcha
lemma/104075	104858(D6D5B),16905(f1230)	furo,furor
lemma/104082	109256(D79F8),16397(f1236)	forda,horda
lemma/104186	102421(D64G7),16002(f9226)	fidei-commissum,fideicommissum
lemma/104247	105837(D6G90),16954(g0003)	gabata,gauata
lemma/104251	107420(D73E1),17655(g0007)	gripus,grypus
lemma/104274	105260(D6EAH),16982(g0027)	galaea,galea
lemma/104374	106283(D7001),106275(D701D),16959(g0110)	gaesum,gessum,gesum
lemma/104596	106405(D7070),17297(g0300)	gilbus,giluus
lemma/104597	106005(D6H14),17296(g0301)	gello,gillo
lemma/104648	106575(D70GF),17351(g0348)	glarea,glaria
lemma/104652	106594(D70HC),17355(g0352)	glattito,glaucito
lemma/104715	106709(D716G),17417(g0413)	glosarium,glossarium
lemma/104716	106699(D7166),17418(g0414)	glosa,glossa
lemma/104725	90026(D3DAA),17427(g0423)	cluma,gluma
lemma/104740	106723(D7181),17443(g0438)	glutio,gluttio
lemma/104742	106727(D7183),17445(g0440)	gluto,glutto
lemma/104743	106721(D7188),17387(g0441)	glittus,glutus
lemma/104756	121355(D9FG7),17459(g0453)	gnarus,narus
lemma/104803	150583(D7261),17510(g0501)	graecisso,graecizo
lemma/104872	107217(D730G),17579(g0566)	gratifico,gratificor
lemma/104893	107297(D7362),17601(g0586)	grauedo,grauido
lemma/104926	107539(D7428),17633(g0617)	groma,gruma
lemma/104940	148040(D7435),17648(g0630)	grundio,grunnio
lemma/104987	107995(D75B9),17665(g0676)	gubia,guuia
lemma/104991	106427(D7083),17703(g0679)	gimnasium,gymnasium
lemma/104998	106058(D6H40),106064(D6H48),17710(g0685)	genaecium,genecium,gynaeceum
lemma/105001	106477(D70B1),17713(g0688)	gipsarius,gypsarius
lemma/105005	106476(D70B3),17717(g0692)	gipsum,gypsum
lemma/105006	106492(D70BG),17718(g0693)	girgillus,gyrgillus
lemma/105008	106480(D70B7),17720(g0695)	giro,gyro
lemma/105064	77134(D16CB),17849(h0022)	ariola,hariola
lemma/105074	72233(D07BA),101889(D6337),108502(D776D),17757(h0031)	aedus,fedus,haedus,hedus
lemma/105086	77135(D16CD),101607(D6236),17852(h0041)	ariolus,fariolus,hariolus
lemma/105092	108743(D7829),17775(h0047)	haeresis,heresis
lemma/105093	108751(D782H),17777(h0048)	haereticus,hereticus
lemma/105130	74260(D0EDD),17810(h0081)	ama,hama
lemma/105145	46187(5234),17824(h0095)	ammoniacus,hammoniacus
lemma/105150	74854(D0GF2),98822(D59DE),17828(h0099)	amula,emola,hamula
lemma/105152	74263(D0GFE),17830(h0101)	amus,hamus
lemma/105157	76490(D149E),76491(D149F),17835(h0106)	ara,hara
lemma/105158	77819(D1913),108385(D76H0),17836(h0107)	asena,harena,hasena
lemma/105161	76991(D1637),17838(h0109)	arenaria,harenaria
lemma/105162	76989(D163D),17840(h0109)	arenarius,harenarius
lemma/105163	76987(D163B),17839(h0109)	arenarium,harenarium
lemma/105173	148044(D16CC),17851(h0118)	ariolor,hariolor
lemma/105177	77283(D1738),17855(h0122)	armonia,harmonia
lemma/105180	77335(D176E),17858(h0124)	arpa,harpa
lemma/105183	77340(D1772),17862(h0127)	arpago,harpago
lemma/105194	77702(D18BC),17880(h0136)	aruspicium,haruspicium
