n_idOLD	n_idNEW	lemmata	ts
D04AC	1487	actius_N2/1_*_Af-	2023-06-09 14:16:38
D06D3	2206	adrasteus_N2/1_*_Af-	2023-06-09 14:16:38
D06E2	2228	adriacus_N2/1_*_Af-	2023-06-09 14:16:38
D0954	3392	agareni_N2/1_*_Af-	2023-06-09 14:16:38
D0A0C	3677	agorius_N2/1_*_Af-	2023-06-09 14:16:38
D0AF4	3854	alabandicus_N2/1_*_Af-	2023-06-09 14:16:38
D0B3G	3935	albani_N2/1_*_Af-	2023-06-09 14:16:38
D0C0E	4215	alfenus_N2/1_*_Af-	2023-06-09 14:16:38
D0F76	4996	ambiuius_N2/1_*_Af-	2023-06-09 14:16:38
D1073	6128	anicius_N2/1_*_Af-	2023-06-09 14:16:38
D109F	6192	anius_N2/1_*_Af-	2023-06-09 14:16:38
D11A6	6570	antianus_N2/1_*_Af-	2023-06-09 14:16:38
D14A0	7648	arabici_N2/1_*_Af-	2023-06-09 14:16:38
D1C9E	10142	augustalis_N3A_*_Af-	2023-06-09 14:16:38
D1CA9	10162	augustinus_N2/1_*_Af-	2023-06-09 14:16:38
D1CB1	10589	auianus_N2/1_*_Af-	2023-06-09 14:16:38
D1EGC	10881	baebius_N2/1_*_Af-	2023-06-09 14:16:38
D1H27	11142	barbarus_N2/1_*_Af-	2023-06-09 14:16:38
D2031	11281	basilius_N2/1_*_Af-	2023-06-09 14:16:38
D2058	11297	bassus_N2/1_*_Af-	2023-06-09 14:16:38
D2427	12004	bisius_N2/1_*_Af-	2023-06-09 14:16:38
D24C6	12120	blasius_N2/1_*_Af-	2023-06-09 14:16:38
D27B1	12490	bouius_N2/1_*_Af-	2023-06-09 14:16:38
D2GCE	14232	canopicus_N2/1_*_Af-	2023-06-09 14:16:38
D364H	15431	ceius_N2/1_*_Af-	2023-06-09 14:16:38
D36A7	15522	celticus_N2/1_*_Af-	2023-06-09 14:16:38
D36A8	15522	celticus_N2/1_*_Af-	2023-06-09 14:16:38
D3G13	18496	colubrarius_N2/1_*_Af-	2023-06-09 14:16:38
D43HD	20707	contius_N2/1_*_Af-	2023-06-09 14:16:38
D4DAC	23040	daunus_N2/1_*_Af-	2023-06-09 14:16:38
D55B6	26773	doricus_N2/1_*_Af-	2023-06-09 14:16:38
D623B	32370	farius_N2/1_*_Af-	2023-06-09 14:16:38
D62FG	32533	faunius_N2/1_*_Af-	2023-06-09 14:16:38
D6578	33156	filius_N2/1_*_Af-	2023-06-09 14:16:38
D6A9F	34046	franci_N2/1_*_Af-	2023-06-09 14:16:38
D6EE5	34951	galerius_N2/1_*_Af-	2023-06-09 14:16:38
D6GD7	35225	gauius_N2/1_*_Af-	2023-06-09 14:16:38
D6GD8	35225	gauius_N2/1_*_Af-	2023-06-09 14:16:38
D72H9	36358	grassius_N2/1_*_Af-	2023-06-09 14:16:38
D7868	37800	herminius_N2/1_*_Af-	2023-06-09 14:16:38
D7925	38378	hispanus_N2/1_*_Af-	2023-06-09 14:16:38
D7B36	39061	hyperboreanus_N2/1_*_Af-	2023-06-09 14:16:38
D7BBH	44635	ianuarius_N2/1_*_Af-	2023-06-09 14:16:38
D7G80	41488	indicus_N2/1_*_Af-	2023-06-09 14:16:38
D7G81	41488	indicus_N2/1_*_Af-	2023-06-09 14:16:38
D7G82	41488	indicus_N2/1_*_Af-	2023-06-09 14:16:38
D7GEE	41677	indus_N2/1_*_Af-	2023-06-09 14:16:38
D8914	46139	latonius_N2/1_*_Af-	2023-06-09 14:16:38
D8C19	47193	licinius_N2/1_*_Af-	2023-06-09 14:16:38
D8C1H	47205	licius_N2/1_*_Af-	2023-06-09 14:16:38
D8C20	47205	licius_N2/1_*_Af-	2023-06-09 14:16:38
D8C41	47214	lidius_N2/1_*_Af-	2023-06-09 14:16:38
D8EHG	48117	lucius_N2/1_*_Af-	2023-06-09 14:16:38
D8FGD	48769	maccius_N2/1_*_Af-	2023-06-09 14:16:38
D8G0B	48816	macerius_N2/1_*_Af-	2023-06-09 14:16:38
D8G0C	48816	macerius_N2/1_*_Af-	2023-06-09 14:16:38
D8GE5	49160	magius_N2/1_*_Af-	2023-06-09 14:16:38
D939D	50199	marsi_N2/1_*_Af-	2023-06-09 14:16:38
D93C8	50251	martius_N2/1_*_Af-	2023-06-09 14:16:38
D93C9	50251	martius_N2/1_*_Af-	2023-06-09 14:16:38
D93CA	50251	martius_N2/1_*_Af-	2023-06-09 14:16:38
D94B8	50486	matius_N2/1_*_Af-	2023-06-09 14:16:38
D9737	51498	mercasius_N2/1_*_Af-	2023-06-09 14:16:38
D9E96	53507	munius_N2/1_*_Af-	2023-06-09 14:16:38
D9G86	54441	nauigius_N2/1_*_Af-	2023-06-09 14:16:38
DA00C	55421	nomius_N2/1_*_Af-	2023-06-09 14:16:38
DA068	55561	notus_N2/1_*_Af-	2023-06-09 14:16:38
DA3CC	57996	oppius_N2/1_*_Af-	2023-06-09 14:16:38
DA534	58666	ostorius_N2/1_*_Af-	2023-06-09 14:16:38
DA6E7	59238	palius_N2/1_*_Af-	2023-06-09 14:16:38
DA95G	59953	parisius_N2/1_*_Af-	2023-06-09 14:16:38
DA969	59962	parius_N2/1_*_Af-	2023-06-09 14:16:38
DAEC0	61967	perpennius_N2/1_*_Af-	2023-06-09 14:16:38
DAEG1	62186	persicus_N2/1_*_Af-	2023-06-09 14:16:38
