lemma	codlem	gen	codmorf	keep	throwLst
adamas	N3B	m	NcC	a0496	D050H
adarca	N1	f	NcA	a0507	D052D
adelphi	N2	m	NcB	a3718	D057D
adeps	N3B	2	NcC	a0554	D05FF
adoptiuus	N2/1	*	Af-	a0739	D0696
aedes	N3B	f	NcC	a0842	D07A2
aedilis	N3B	m	NcC	a0855	D07B3
aequus	N2/1	*	Af-	a0867	2946
aestiuus	N2/1	*	Af-	a1030	3101
agrius	N2/1	*	Af-	a1242	3762
alcyoneus	N2/1	*	Af-	a2389	4115
alipta	N1	m	NcA	a1377	D0C96
allex	N3B	m	NcC	a9937	D0D04
altare	N3B	n	NcC	a1480	D0E3E
amygdala	N1	f	NcA	a1806	D0GG4
antistropha	N1	f	NcA	a2903	D11H6
antrum	N2	n	NcB	a2282	D1217
apostropha	N1	f	NcA	a2446	D1329
archimandrita	N1	m	NcA	a2713	D15A3
arctos	N2	f	NcB	a8930	D15H9
arum	N2	n	NcB	a2993	D18AG
arx	N3B	f	NcC	a3007	D18C0
atauus	N2	m	NcB	a3298	D1AG9
auus	N2	m	NcB	a3634	D1DD9
barbarus	N2/1	*	Af-	b0121	11142
bibliotheca	N1	f	NcA	b0307	D231C
boca	N1	f	NcA	b0577	D2531
campe	N1	f	NcA	c0328	D2F6G
campestris	N3A	*	Af-	c0334	D2F78
canistrum	N2	n	NcB	c0414	D2G7G
capital	N3B	n	NcC	c0507	D2HDG
caro	N3B	f	NcC	c0681	D3213
cataracta	N1	f	NcA	c0843	D349E
centrum	N2	n	NcB	c1158	D370F
ceruical	N3B	n	NcC	c1282	D37G4
charadrios	N2	m	NcB	c1389	D38CG
choraules	N1	m	NcA	c1487	D3A0D
cimber	N2/1	*	Af-	13561	16643
clamor	N3B	m	NcC	c2020	D3C4D
clauis	N3B	f	NcC	c2071	D3CE0
cleptes	N1	m	NcA	c2093	D3CHG
cochlear	N3B	n	NcC	c2253	D3E08
color	N3B	m	NcC	c2500	D3G01
colossus	N2	m	NcB	c2510	D3G05
columbar	N3B	n	NcC	c2522	D3G20
cratis	N3B	f	NcC	c4269	D4865
curis	N3B	f	NcC	c4703	D4BF5
cymbalum	N2	n	NcB	c4802	D4CE0
diadumenus	N2/1	*	Af-	d1243	D5111
dolo	N3B	m	NcC	d2125	D54EG
epistates	N1	m	NcA	e0766	D5B40
ethice	N1	f	NcA	e1002	D5E3D
exemplar	N3B	n	NcC	e1423	D5G19
furcilla	N1	f	NcA	f1202	D6D76
glaber	N2/1	*	Af-	g0314	D70E3
glans	N3B	f	NcC	g0346	D70G8
heroicus	N2/1	*	Af-	h0312	D787G
hiems	N3B	f	NcC	h0366	D78DD
hierophanta	N1	m	NcA	h0376	D78EA
honor	N3B	m	NcC	h0539	D79C4
horaeus	N2/1	*	Af-	h0313	38582
ibex	N3B	m	NcC	i0048	D7BFC
idiota	N1	m	NcA	i0082	D7C04
ingenuus	N2/1	*	Af-	i1691	42205
ionicus	N2/1	*	Af-	i3210	44001
labor	N3B	m	NcC	l0026	D86A4
luca	N1	f	NcA	l1068	D8EEE
luminare	N3B	n	NcC	l1177	D8F6A
mathematica	N1	f	NcA	m0461	D94A7
melota	N1	f	NcA	m0675	D9663
melothrum	N2	n	NcB	m0676	D9666
metrum	N2	n	NcB	m0914	D98B3
moles	N3B	f	NcC	m1213	D9B52
municeps	N3B	m	NcC	m1726	D9E79
musica	N1	f	NcA	m1824	D9F1E
neruus	N2	m	NcB	n0247	D9H24
obolus	N2	m	NcB	o0161	DA1AD
odor	N3B	m	NcC	o0516	DA29C
onager	N2	m	NcB	o0742	DA362
pancratium	N2	n	NcB	p0207	DA786
parabola	N1	f	NcA	p0290	DA869
physica	N1	f	NcA	p0963	DAG79
physicus	N2/1	*	Af-	p0959	63371
polium	N2	n	NcB	p2461	DB321
proconsul	N3B	m	NcC	p3669	DB8G8
propheta	N1	m	NcA	p3975	DB9F8
puer	N2	m	NcB	p2247	DBB8C
pugil	N3B	m	NcC	p4411	DBB99
puluis	N3B	m	NcC	p4510	DBC1F
rastrum	N2	n	NcB	r0091	DBGA4
rhine	N1	f	NcA	r0669	DC68C
ruber	N2/1	*	Af-	r0839	DC91C
salutifer	N2/1	*	Af-	s0241	72813
sanguis	N3B	m	NcC	s0316	DCD0F
scaeuus	N2/1	*	Af-	s4025	DCEA8
scimpodium	N2	n	NcB	s0645	DCG84
scincus	N2	m	NcB	s0646	DCG87
seruus	N2	m	NcB	s1432	DD3D1
signifer	N2/1	*	Af-	s1616	76239
sion	N2	n	NcB	s1765	DD5FG
smaragdus	N2	m	NcB	s1820	DD661
spatha	N1	f	NcA	s2083	DD8F3
stipes	N3B	m	NcC	s2500	DDC71
stips	N3B	f	NcC	s2503	DDC79
syncope	N1	f	NcA	s3952	DE0ED
terrestris	N3A	*	Af-	t0379	DEH97
thalamus	N2	m	NcB	t0521	DF098
tonus	N2	m	NcB	t0818	DF2F4
trames	N3B	m	NcC	t0964	DF472
transrhenanus	N2/1	*	Af-	t1088	85230
trias	N3B	f	NcC	t1165	DF5F8
tribunal	N3B	n	NcC	t1179	DF5H9
trochus	N2	m	NcB	t1436	DF6H6
tropus	N2	m	NcB	t1445	DF736
typus	N2	m	NcB	t1867	DF8G0
uacuus	N2/1	*	Af-	u0052	DE157
uirginal	N3B	n	NcC	u0767	DE783
unguis	N3B	m	NcC	u1085	DE8F6
