lemma	codlem	gen	codmorf	NoLemLat	NoLiLaL	NoLiLaH	NoB	NoO	NoD	LemLatLST	LiLaLST
adamas	N3B	m	NcC	2	1	0	1	0	1	573(a0496),71703(D050H)	lemma/87361
adarca	N1	f	NcA	2	1	0	1	0	1	71731(D052D),584(a0507)	lemma/87373
adelphi	N2	m	NcB	2	1	0	1	0	1	628(a3718),71780(D057D)	lemma/90919
adeps	N3B	2	NcC	2	1	0	1	0	1	634(a0554),71859(D05FF)	lemma/87422
adoptiuus	N2/1	*	Af-	2	1	0	1	0	1	858(a0739),72000(D0696)	lemma/87618
aedes	N3B	f	NcC	2	1	0	1	0	1	72235(D07A2),986(a0842)	lemma/87733
aedilis	N3B	m	NcC	2	1	0	1	0	1	1001(a0855),72251(D07B3)	lemma/87747
alipta	N1	m	NcA	2	1	0	1	0	1	73621(D0C96),1611(a1377)	lemma/88347
allex	N3B	m	NcC	2	1	0	1	0	1	1679(a9937),73701(D0D04)	lemma/91132
altare	N3B	n	NcC	2	1	0	1	0	1	74116(D0E3E),1746(a1480)	lemma/88454
amygdala	N1	f	NcA	2	1	0	1	0	1	74870(D0GG4),2115(a1806)	lemma/88814
antistropha	N1	f	NcA	2	1	0	1	0	1	2638(a2903),75779(D11H6)	lemma/90055
antrum	N2	n	NcB	2	1	0	1	0	1	75796(D1217),2651(a2282)	lemma/89355
apis	N3B	f	NcC	2	1	0	1	0	1	2750(a2369),75864(D12C2)	lemma/89456
apostropha	N1	f	NcA	2	1	0	1	0	1	76113(D1329),2836(a2446)	lemma/89544
archimandrita	N1	m	NcA	2	1	0	1	0	1	76806(D15A3),3151(a2713)	lemma/89840
arctos	N2	f	NcB	2	1	0	1	0	1	3191(a8930),76924(D15H9)	lemma/91070
arum	N2	n	NcB	2	1	0	1	0	1	76488(D18AG),3468(a2993)	lemma/90153
arx	N3B	f	NcC	2	1	0	1	0	1	76661(D18C0),3475(a3007)	lemma/90170
atauus	N2	m	NcB	2	1	0	1	0	1	3806(a3298),78334(D1AG9)	lemma/90487
auus	N2	m	NcB	2	1	0	1	0	1	78530(D1DD9),4210(a3634)	lemma/90862
bibliotheca	N1	f	NcA	2	1	0	1	0	1	4610(b0307),81368(D231C)	lemma/91528
