lemmaNorm	codlem	gen	codmorf	keep	LiLaRef	throwLst
abscondo	V3		VmH	a0155	lemma/86994	D01C6
accedo	V3		VmH	a0240	lemma/87084	D02A6
accedo	V3		VmH	a0268	lemma/87112	D02A6
aceto	V1		VmF	a0354	lemma/87202	D039H
aceto	V1		VmF	a0358	lemma/87208	D039H
adaquo	V1		VmF	a0506	lemma/87372	D0524
adorior	V4		VmL	a0751	lemma/87631	D06A3
adultero	V1		VmF	a0820	lemma/87710	D076H
affecto	V1		VmF	a1076	lemma/87998	D0874
agonotheta	N1	m	NcA	a1218	lemma/88155	D0A06
albico	V1		VmF	a1290	lemma/88242	D0B7H
alipes	N3A	*	Af-	a1374	lemma/88344	D0C8G
alleuo	V1		VmF	a1378	lemma/88348	D0CHC,D0CHD
alleuo	V1		VmF	a1415	lemma/88385	D0CHC,D0CHD
altercor	V1		VmF	a1486	lemma/88460	D0E5A
amarico	V1		VmF	a1578	lemma/88566	D0EH3
amento	V1		VmF	a8662	lemma/91016	D0FCE,D0FCF
amico	V1		VmF	a1682	lemma/88678	D0FF5
anathema	N3B	n	NcC	a9977	lemma/91159	D0H45,D0H46
anathema	N3B	n	NcC	a9978	lemma/91161	D0H45,D0H46
ancillor	V1		VmF	a1919	lemma/88942	D0H8G
anclo	V1		VmF	a1925	lemma/88951	D0HA7
anilito	V1		VmF	a2026	lemma/89073	D107B
anus	N2	m	NcB	a2292	lemma/89365	D122G
arbitror	V1		VmF	a2658	lemma/89778	D14H8
archiater	N2	m	NcB	a2698	lemma/89824	D156D
architecto	V1		VmF	a2724	lemma/89853	D15DF
assello	V1		VmF	a3123	lemma/90300	D19D5
assero	V3		VmH	a3140	lemma/90320	D19F9
assero	V3		VmH	a3141	lemma/90321	D19F9
astipulor	V1		VmF	a3237	lemma/90420	D1ABF
attingo	V3		VmH	a3400	lemma/90596	D1B8H
auctoro	V1		VmF	a3423	lemma/90622	D1BGH
aurigo	V1		VmF	a3566	lemma/90781	D1D3D
auspicor	V1		VmF	a3593	lemma/90810	D1D7F
axis	N3B	m	NcC	a3665	lemma/90896	D1DG3
bacchius	N2/1	*	Af-	b0021	lemma/91207	10811
bacchius	N2/1	*	Af-	b9691	lemma/92105	10811
balo	V1		VmF	b0086	lemma/91284	D1F7E
baro	N3B	m	NcC	b0445	lemma/91682	D1HBG
beneficium	N2	n	NcB	b0266	lemma/91483	D2203
blandior	V4		VmL	b0462	lemma/91700	D24B2
bolus	N2	m	NcB	b0510	lemma/91752	D25HE
calculatio	N3B	f	NcC	c0114	lemma/92240	D2DF4
calculatio	N3B	f	NcC	c0204	lemma/92338	D2DF4
calo	N3B	m	NcC	c0273	lemma/92415	D2E7C
calo	N3B	m	NcC	c1152	lemma/93439	D2E7C
calo	V1		VmF	c0272	lemma/92414	D2D77,D2D78
capto	V1		VmF	c0582	lemma/92784	D30AB
capulo	V1		VmF	c0589	lemma/92792	D30CB
capulo	V1		VmF	c3549	lemma/96071	D30CB
carmen	N3B	n	NcC	c0656	lemma/92868	D31E2,D31E3,D31E4
carmen	N3B	n	NcC	c4060	lemma/96629	D31E2,D31E3,D31E4
cassis	N3B	f	NcC	c0753	lemma/92980	D33EA
cernuo	V1		VmF	c1248	lemma/93551	D37CD
ceruus	N2	m	NcB	c2004	lemma/94394	D37H9
chema	N1	f	NcA	c1423	lemma/93749	D3975
cibo	V1		VmF	c1574	lemma/93923	D3A7G
cicatrico	V1		VmF	c1579	lemma/93930	D3A90
circulo	V1		VmF	c1693	lemma/94063	D3B77
coaxo	V1		VmF	c2241	lemma/94652	D3DF3
cochlearium	N2	n	NcB	c2255	lemma/94669	D3E0C
cochlearium	N2	n	NcB	c7934	lemma/97603	D3E0C
collimito	V1		VmF	c2429	lemma/94859	D3FCC
colum	N2	n	NcB	c2520	lemma/94963	D3G1A
comitor	V1		VmF	c2595	lemma/95051	D3GA7
communico	V1		VmF	c2745	lemma/95220	D3H6G
comparatio	N3B	f	NcC	c2782	lemma/95259	D3HB3
comparatio	N3B	f	NcC	c4786	lemma/97428	D3HB3
comparo	V1		VmF	c2786	lemma/95263	D3HAH,D3HB0,D3HB1,D3HB2
comparo	V1		VmF	c4812	lemma/97455	D3HAH,D3HB0,D3HB1,D3HB2
compilo	V1		VmF	c2839	lemma/95321	D3HF9
compilo	V1		VmF	c4816	lemma/97459	D3HF9
conditio	N3B	f	NcC	c3168	lemma/95668	D412D,D412E,D412F,D412G,D412H,D4130,D4131,D4132
conditio	N3B	f	NcC	c9856	lemma/97682	D412D,D412E,D412F,D412G,D412H,D4130,D4131,D4132
conditum	N2	n	NcB	c9891	lemma/97720	D413D
conditum	N2	n	NcB	c9892	lemma/97722	D413D
conditus	N4	m	NcD	c9891	lemma/97721	D413F,D413G
conditus	N4	m	NcD	c9892	lemma/97723	D413F,D413G
conglacio	V1		VmF	c3370	lemma/95883	D421D
coniecto	V1		VmF	c3411	lemma/95925	D4242
consecro	V1		VmF	c3489	lemma/96008	D42EH
consolo	V1		VmF	c3569	lemma/96097	D4330
consulto	V1		VmF	c3656	lemma/96192	D439E
contumelio	V1		VmF	c3840	lemma/96391	D447F
conuerso	V1		VmF	c3889	lemma/96443	D44C4
coquus	N2	m	NcB	c3992	lemma/96552	D455D
corus	N2	m	NcB	c4156	lemma/96732	D471H
cunctor	V1		VmF	c4622	lemma/97248	D4B2C
decerto	V1		VmF	d0182	lemma/98053	D4E49
decido	V3		VmH	d0188	lemma/98059	D4E5A
decido	V3		VmH	d0189	lemma/98060	D4E5A
deiero	V1		VmF	d0484	lemma/98380	D4FC9
delapido	V1		VmF	d0512	lemma/98410	D4FF1
deludifico	V1		VmF	d0597	lemma/98508	D4G2C
demereo	V2		VmG	d0623	lemma/98535	D4G60
demolior	V4		VmL	d0644	lemma/98556	D4G6H
depalo	V1		VmF	d0759	lemma/98676	D4GEC,D4GED
depalo	V1		VmF	d0882	lemma/98808	D4GEC,D4GED
depilo	V1		VmF	d0789	lemma/98708	D4GGF
deprecor	V1		VmF	d0855	lemma/98779	D4H23
detestatio	N3B	f	NcC	d1095	lemma/99031	D506E
detestatio	N3B	f	NcC	d1470	lemma/99432	D506E
digno	V1		VmF	d1442	lemma/99405	D51GB
dispenso	V1		VmF	d1831	lemma/99728	D537B
dissauior	V1		VmF	d1872	lemma/99771	D53C2
dolium	N2	n	NcB	d2120	lemma/100027	D54E9
edo	V3		VmH	e0095	lemma/100577	D57EB
effatio	N3B	f	NcC	e0119	lemma/100604	D5810
effatio	N3B	f	NcC	e0662	lemma/101190	D5810
eiulo	V1		VmF	e0237	lemma/100733	D58C3
electo	V1		VmF	e0276	lemma/100772	D58DG
electo	V1		VmF	e1937	lemma/102520	D58DG
elibero	V1		VmF	e0318	lemma/100821	D5907
elibero	V1		VmF	e1939	lemma/102522	D5907
equus	N2	m	NcB	e0555	lemma/101076	D5BBF
expalpo	V1		VmF	e1571	lemma/102128	D5GH0
expilo	V1		VmF	e1620	lemma/102181	D5H42
expilo	V1		VmF	e1943	lemma/102526	D5H42
exulo	V1		VmF	e1910	lemma/102487	D602F
fabrico	V1		VmF	f0021	lemma/102726	D6076
fabula	N1	f	NcA	f0035	lemma/102741	D608A
fatisco	V3		VmH	f0264	lemma/103002	D62CE
fatuor	V1		VmF	f0270	lemma/103008	D62D4
fatuor	V1		VmF	f0274	lemma/103012	D62D4
fistulo	V1		VmF	f0585	lemma/103359	D6616
focilo	V1		VmF	f0751	lemma/103542	D677B
fornico	V1		VmF	f0876	lemma/103677	D6963
fretum	N2	n	NcB	f0980	lemma/103788	D6B71
frons	N3B	f	NcC	f1030	lemma/103844	D6C10
frons	N3B	f	NcC	f1031	lemma/103845	D6C10
fundator	N3B	m	NcC	f1168	lemma/104004	D6D17
fundator	N3B	m	NcC	f1269	lemma/104117	D6D17
funero	V1		VmF	f1187	lemma/104027	D6D39
fungor	V3		VmH	f1184	lemma/104022	D6D44
furor	V1		VmF	f1230	lemma/104074	D6D5C
futo	V1		VmF	f1262	lemma/104110	D6DHA,D6DHF
futo	V1		VmF	f9706	lemma/104215	D6DHA,D6DHF
gaudeo	V2		VmG	g0102	lemma/104365	D6G9C
geniculo	V1		VmF	g0190	lemma/104474	D6H6C
genus	N3B	n	NcC	g0213	lemma/104504	D6HB5
glisco	V3		VmH	g0380	lemma/104684	D712E
gratificor	V1		VmF	g0566	lemma/104871	D7311
grego	V1		VmF	g0607	lemma/104915	D737F
hastula	N1	f	NcA	h0145	lemma/105205	D7716,D7717
hieto	V1		VmF	h0380	lemma/105476	D78EH
hirnea	N1	f	NcA	h0444	lemma/105542	D790G
honoro	V1		VmF	h0548	lemma/105658	D79CE
impetibilis	N3A	*	Af-	i0523	lemma/106562	D7D9F
impetibilis	N3A	*	Af-	i3129	lemma/109315	D7D9F
implicisco	V3		VmH	i0572	lemma/106614	D7DD0
incido	V3		VmH	i0897	lemma/106954	D7F2H
increpo	V1		VmF	i1117	lemma/107184	D7FG8
indignor	V1		VmF	i1280	lemma/107358	D7G8H
infesto	V1		VmF	i1557	lemma/107660	D7H5H
infirmo	V1		VmF	i1584	lemma/107690	D7H7H
ioculor	V1		VmF	i2770	lemma/108932	D83GE
irrito	V1		VmF	i2797	lemma/108965	D8477
irrito	V1		VmF	i2887	lemma/109057	D8477
labellum	N2	n	NcB	l0011	lemma/109605	D868C,D868D
labellum	N2	n	NcB	l0015	lemma/109609	D868C,D868D
labrum	N2	n	NcB	l0034	lemma/109629	D86CG
latex	N3B	m	NcC	l0354	lemma/110008	D88H8
latex	N3B	m	NcC	l0962	lemma/110717	D88H8
leuamentum	N2	n	NcB	l9905	lemma/111147	D8B3D
leuigo	V1		VmF	l9893	lemma/111134	D8B89
leuis	N3A	*	Af-	l0625	lemma/110327	D8B8D
leuo	V1		VmF	l0646	lemma/110349	D8B3H
libero	V1		VmF	l0684	lemma/110392	D8BE9
libraria	N1	f	NcA	l0704	lemma/110417	D8BGG
libraria	N1	f	NcA	l9881	lemma/111122	D8BGG
librarius	N2/1	*	Af-	l0704	lemma/110416	D8BH1
librarius	N2/1	*	Af-	l9881	lemma/111121	D8BH1
lio	V1		VmF	l0863	lemma/110605	D8BC4
lio	V1		VmF	l0976	lemma/110732	D8BC4
lito	V1		VmF	l0917	lemma/110663	D8D8B
lucror	V1		VmF	l1111	lemma/110886	D8F01
lustro	V1		VmF	l1232	lemma/111029	D8FC4
luteus	N2/1	*	Af-	l1241	lemma/111038	D8FD5
luteus	N2/1	*	Af-	l9910	lemma/111154	D8FD5
lutum	N2	n	NcB	l1249	lemma/111047	D8FDH
lutum	N2	n	NcB	l9911	lemma/111156	D8FDH
maligno	V1		VmF	m0187	lemma/111386	D8HEA
malum	N2	n	NcB	m0216	lemma/111419	D9035,D9036
malum	N2	n	NcB	m0218	lemma/111422	D9035,D9036
medica	N1	f	NcA	m0549	lemma/111810	D959F
medico	V1		VmF	m0547	lemma/111807	D95A3
medicus	N2/1	*	Af-	m0549	lemma/111809	50752
melinus	N2/1	*	Af-	m0624	lemma/111904	D9631
melo	N3B	m	NcC	m0664	lemma/111954	D9656
mena	N1	f	NcA	m0063	lemma/111233	D969F
mentior	V4		VmL	m0760	lemma/112072	D96HE
mercor	V1		VmF	m0787	lemma/112102	D9732
meridio	V1		VmF	m0812	lemma/112133	D9798
miliarium	N2	n	NcB	m9986	lemma/113316	D9916
miliarius	N2/1	*	Af-	m9986	lemma/113314	D9917
miror	V1		VmF	m1092	lemma/112442	D99F5
molior	V4		VmL	m1223	lemma/112590	D9B6F
molitio	N3B	f	NcC	m1224	lemma/112592	D9B70
molitio	N3B	f	NcC	m1247	lemma/112619	D9B70
morigeror	V1		VmF	m1407	lemma/112791	D9CC5
morior	V5		VmM	m1411	lemma/112796	D9CBG
morosus	N2/1	*	Af-	m1418	lemma/112805	D9CD9
morosus	N2/1	*	Af-	m1455	lemma/112847	D9CD9
mucus	N2	m	NcB	m1662	lemma/112964	D9DBF
munero	V1		VmF	m1723	lemma/113032	D9E6F
murra	N1	f	NcA	m0933	lemma/112276	D9EE0
murra	N1	f	NcA	m0934	lemma/112277	D9EE0
murreus	N2/1	*	Af-	m0935	lemma/112278	D9EE6
murreus	N2/1	*	Af-	m0936	lemma/112279	D9EE6
museum	N2	n	NcB	m0415	lemma/111651	D9F19
museum	N2	n	NcB	m0551	lemma/111814	D9F19
museus	N2/1	*	Af-	m0357	lemma/111580	D9F1A
museus	N2/1	*	Af-	m0569	lemma/111835	D9F1A
mutulus	N2	m	NcB	m1874	lemma/113178	D9F7B
naufrago	V1		VmF	n0087	lemma/113441	D9G6F
nicto	V1		VmF	n0276	lemma/113655	D9H60
nitela	N1	f	NcA	n0323	lemma/113709	D9H9B
nola	N1	f	NcA	n0488	lemma/113793	D9HH3
nola	N1	f	NcA	n9763	lemma/114125	D9HH3
nutrico	V1		VmF	n0712	lemma/114029	DA103
obsidium	N2	n	NcB	o0242	lemma/114431	DA1F4,DA1F5
obsidium	N2	n	NcB	o9722	lemma/115524	DA1F4,DA1F5
obstetrico	V1		VmF	o0264	lemma/114456	DA1G0
obtentus	N4	m	NcD	o0675	lemma/114907	DA1H3
obtentus	N4	m	NcD	o9994	lemma/115558	DA1H3
odium	N2	n	NcB	o0513	lemma/114729	DA297
omen	N3B	n	NcC	o0661	lemma/114892	DA349
omen	N3B	n	NcC	o0690	lemma/114921	DA349
operor	V1		VmF	o0793	lemma/115028	DA386
oppilo	V1		VmF	o0862	lemma/115108	DA3C9,DA3CA
oppilo	V1		VmF	o0874	lemma/115121	DA3C9,DA3CA
os	N3B	n	NcC	o1064	lemma/115327	DA4E5
osculatio	N3B	f	NcC	o0673	lemma/114905	DA4FA
osculatio	N3B	f	NcC	o1077	lemma/115346	DA4FA
pacifico	V1		VmF	p0019	lemma/115587	DA5D9
paciscor	V3		VmH	p0021	lemma/115589	DA5DG
participo	V1		VmF	p0459	lemma/116104	DA9D4
partio	V4		VmL	p0468	lemma/116114	DA9F4
percontor	V1		VmF	p0976	lemma/116681	DADFD
pila	N1	f	NcA	p2030	lemma/117787	DAGHH,DAH00,DAH01,DAH02,DAH03,DAH04,DAH05,DAH06,DAH07,DAH08,DAH09,DAH0A
pila	N1	f	NcA	p2074	lemma/117843	DAGHH,DAH00,DAH01,DAH02,DAH03,DAH04,DAH05,DAH06,DAH07,DAH08,DAH09,DAH0A
pila	N1	f	NcA	p9866	lemma/120839	DAGHH,DAH00,DAH01,DAH02,DAH03,DAH04,DAH05,DAH06,DAH07,DAH08,DAH09,DAH0A
pilo	V1		VmF	p2068	lemma/117835	DAH0H,DAH11,DAH12
pilo	V1		VmF	p2089	lemma/117862	DAH0H,DAH11,DAH12
pilo	V1		VmF	p4534	lemma/120525	DAH0H,DAH11,DAH12
pilum	N2	n	NcB	p2030	lemma/117788	DAH6D
pilus	N2	m	NcB	p2072	lemma/117840	DAH70
pilus	N2	m	NcB	p2074	lemma/117844	DAH70
plaga	N1	f	NcA	p2229	lemma/118022	DB0CF,DB0CG
plaga	N1	f	NcA	p2230	lemma/118023	DB0CF,DB0CG
polia	N1	f	NcA	p9868	lemma/120841	DB2H7
polliceor	V2		VmG	p2466	lemma/118296	DB33B
polluo	V3		VmH	p2479	lemma/118312	DB349
populatio	N3B	f	NcC	p2595	lemma/118451	DB3H4,DB3H5,DB3H6
populatio	N3B	f	NcC	p4607	lemma/120604	DB3H4,DB3H5,DB3H6
populor	V1		VmF	p2602	lemma/118458	DB3GD
populus	N2	m	NcB	p2606	lemma/118463	DB401
porus	N2	m	NcB	p2669	lemma/118538	DB4FE
porus	N2	m	NcB	p2677	lemma/118546	DB4FE
praestigio	V1		VmF	p3320	lemma/119239	DB6FG
praeuaricor	V1		VmF	p3435	lemma/119363	DB715
proco	V1		VmF	p3666	lemma/119612	DB8D1
pronaus	N2	m	NcB	p3912	lemma/119872	DB9C8
