lemma	codlem	gen	codmorf	LiLaRef	LemLatLST
a	I		X--	lemma/86824	43813(6),9(a0001)
abscondo	V3		VmH	lemma/86994	146947(D01C6),189(a0155)
accedo	V3		VmH	lemma/87084	70991(D02A6),281(a0240)
accedo	V3		VmH	lemma/87112	70991(D02A6),282(a0268)
aceto	V1		VmF	lemma/87202	71255(D039H),392(a0354)
aceto	V1		VmF	lemma/87208	71255(D039H),391(a0358)
adaquo	V1		VmF	lemma/87372	71723(D0524),583(a0506)
adorior	V4		VmL	lemma/87631	72009(D06A3),872(a0751)
aduersus	I		X--	lemma/87681	72161(D074G),925(a0795)
adultero	V1		VmF	lemma/87710	147050(D076H),955(a0820)
aera	N1	f	NcA	lemma/87874	72337(D07GF),72340(D07GG),72339(D07GH),72336(D07H0),72338(D07H1),1126(a0966)
aera	N1	f	NcA	lemma/89356	72337(D07GF),72340(D07GG),72339(D07GH),72336(D07H0),72338(D07H1),1127(a2283)
aetherius	N2/1	*	Af-	lemma/27811	45193(3152),72397(D082G)
affecto	V1		VmF	lemma/87998	72468(D0874),1252(a1076)
agna	N1	f	NcA	lemma/88109	72825(D09EH),72826(D09F0),1378(a1182)
agonia	N1	f	NcA	lemma/88145	72863(D09H5),72864(D09H6),1416(a1212)
agonia	N1	f	NcA	lemma/90941	72863(D09H5),72864(D09H6),1417(a3741)
agonotheta	N1	m	NcA	lemma/88155	72877(D0A06),1426(a1218)
albico	V1		VmF	lemma/88242	73303(D0B7H),1505(a1290)
alipes	N3A	*	Af-	lemma/88344	73614(D0C8G),3(a1374)
alleuo	V1		VmF	lemma/88348	147093(D0CHC),147094(D0CHD),1654(a1378)
alleuo	V1		VmF	lemma/88385	147093(D0CHC),147094(D0CHD),1653(a1415)
altercor	V1		VmF	lemma/88460	147097(D0E5A),1755(a1486)
amarico	V1		VmF	lemma/88566	74316(D0EH3),1859(a1578)
amento	V1		VmF	lemma/91016	147112(D0FCE),147113(D0FCF),1953(a8662)
amico	V1		VmF	lemma/88678	74577(D0FF5),1976(a1682)
an	I		X--	lemma/88828	74871(D0GG5),2126(a1816)
anathema	N3B	n	NcC	lemma/91159	74984(D0H45),74985(D0H46),2214(a9977)
anathema	N3B	n	NcC	lemma/91161	74984(D0H45),74985(D0H46),2216(a9978)
ancillor	V1		VmF	lemma/88942	75062(D0H8G),2251(a1919)
anclo	V1		VmF	lemma/88951	75078(D0HA7),2257(a1925)
anilito	V1		VmF	lemma/89073	152217(D107B),2366(a2026)
annus	N2	m	NcB	lemma/89129	75372(D10G8),2417(a2077)
anus	N2	m	NcB	lemma/89365	74875(D122G),4(a2292)
ara	N1	f	NcA	lemma/105157	76490(D149E),76491(D149F)
ara	N1	f	NcA	lemma/89737	76490(D149E),76491(D149F),3043(a2625)
arbitror	V1		VmF	lemma/89778	76628(D14H8),3088(a2658)
archiater	N2	m	NcB	lemma/89824	76748(D156D),3133(a2698)
architecto	V1		VmF	lemma/89853	76870(D15DF),3163(a2724)
arcula	N1	f	NcA	lemma/89829	76934(D15HH),76935(D1600),3203(a2703)
assello	V1		VmF	lemma/90300	78012(D19D5),3608(a3123)
assero	V3		VmH	lemma/90320	78043(D19F9),3626(a3140)
assero	V3		VmH	lemma/90321	78043(D19F9),3627(a3141)
assis	N3B	m	NcC	lemma/90172	77941(D1A42),77942(D1A43),77943(D1A44)
assis	N3B	m	NcC	lemma/90884	77941(D1A42),77942(D1A43),77943(D1A44)
astipulor	V1		VmF	lemma/90420	78268(D1ABF),3734(a3237)
at	I		X--	lemma/87415	78317(D1AF9),3800(a0547)
atta	N1	m	NcA	lemma/90518	78405(D1B38),3853(a3325)
atta	N1	m	NcA	lemma/90595	78405(D1B38),3854(a3399)
attingo	V3		VmH	lemma/90596	148888(D1B8H),3895(a3400)
auctoro	V1		VmF	lemma/90622	78618(D1BGH),3966(a3423)
auia	N1	f	NcA	lemma/90697	78800(D1CAH),4044(a3493)
auia	N1	f	NcA	lemma/90855	78800(D1CAH),4045(a3628)
aula	N1	f	NcA	lemma/90715	78840(D1CDD),78841(D1CDE),78842(D1CDF),78843(D1CDG),78844(D1CDH),78845(D1CE0),78846(D1CE1),78847(D1CE2),78848(D1CE3),78849(D1CE4),4062(a3506)
aula	N1	f	NcA	lemma/90903	78840(D1CDD),78841(D1CDE),78842(D1CDF),78843(D1CDG),78844(D1CDH),78845(D1CE0),78846(D1CE1),78847(D1CE2),78848(D1CE3),78849(D1CE4),4063(a3672)
