lemma	codlem	gen	codmorf	keep	throwLst
abscedo	V3		VmH	a0147	D01B7
absisto	V3		VmH	a0169	D01F0
absum	VA		VmN	a0200	D00C2
affor	V1		VmF	a1112	D086A,D0867
antecurro	V3		VmH	a2124	D113C
ardeo	V2		VmG	a2767	D160G,D160H,D1610
benedico	V3		VmH	b9256	D21G2
benefacio	V5		VmM	b9257	D21H1
beneplaceo	V2		VmG	b9270	D220A
cado	V3		VmH	c0061	D2CF0
cauefacio	V5		VmM	c0948	D359B
charaxo	V1		VmF	c1390	D38D3
compesco	V3		VmH	c2832	D3HEF
concrepo	V1		VmF	c3081	D40F3
consipio	V5		VmM	c3541	D431D
consisto	V3		VmH	c3543	D431F
contradico	V3		VmH	c3787	D4421
conuenio	V4		VmL	c3872	D44A4,D44A5
crinio	V4		VmL	c4359	D4930
desisto	V3		VmH	d0981	D4HFE
deuoluo	V3		VmH	d1176	D50CE
disco	V3		VmH	d1724	D52DE
eiulito	V1		VmF	e9236	D58C4
emaneo	V2		VmG	e0400	D595H
emolo	V3		VmH	e0486	D59DH
excandefacio	V5		VmM	e1278	D5F54
eximo	V3		VmH	e1497	D5GA5
harpago	V1		VmF	h0127	D76FC
helluor	V1		VmF	h0203	D779A
impingo	V3		VmH	i0547	D7DB2
implecto	V3		VmH	i0564	D7DC2
impleo	V2		VmG	i0566	D7DCA
impluo	V3		VmH	i0580	D7DD7
incharaxo	V1		VmF	i0889	D7F1E
infundo	V3		VmH	i1671	D7HDC,D7HDD
insum	VA		VmN	i2191	D7H02
introduco	V3		VmH	i9922	D8356,D8357
intromitto	V3		VmH	i9925	D8367
intueor	V2		VmG	i2620	D8371
maledico	V3		VmH	m9606	D8HA3
occurro	V3		VmH	o0420	DA23E
offendo	V3		VmH	o0562	DA2B5
pedo	V3		VmH	p0725	DAC3H
periclitor	V1		VmF	p1210	DAE62,DAE61
postpono	V3		VmH	p2731	DB54F
proficio	V5		VmM	p3763	DB94B
recolligo	V3		VmH	r1021	DC028,DC026,DC027
recumbo	V3		VmH	r1058	DC09A
redimo	V3		VmH	r1087	DC0G6,DC0G7
resculpo	V3		VmH	r1326	DC478
retransmitto	V3		VmH	r1402	DC5B4
reuoluo	V3		VmH	r1449	DC667,DC668
roncho	V1		VmF	r1473	DC843
ruo	V3		VmH	r1499	DC973
sapio	V5		VmM	s0339	DCD33,DCD34
satisfacio	V5		VmM	s0433	DCDH6
sido	V3		VmH	s9912	DD4D7
sisto	V3		VmH	s1791	DD61E
subsisto	V3		VmH	s3133	DDF5B
sufficio	V5		VmM	s3351	DDG24
suffulcio	V4		VmL	s3389	DDG4F
sum	VA		VaN	s3436	D5DAA
supersum	VA		VmN	s3704	DDH24
sustineo	V2		VmG	s3878	DE08B,DE08C
transpungo	V3		VmH	t1087	DF4EB
transumo	V3		VmH	t1113	DF4GA
ualedico	V3		VmH	u0047	DE1B9
uenio	V4		VmL	u0300	DE3EG
uerro	V3		VmH	u0417	DE4D5,DE4D4
uigeo	V2		VmG	u0636	DE67F
