lemma	codlem	gen	codmorf	NoLemLat	NoLiLaL	NoLiLaH	NoB	NoO	NoD	LemLatLST	LiLaLST
aba	N1	f	NcA	2	1	0	0	0	2	70324(D000D),70325(D000E)	lemma/25976
abacinus	N2/1	*	Af-	2	1	0	1	0	1	70338(D0011),13(a0002)	lemma/86825
abactor	N3B	m	NcC	3	1	0	1	0	2	16(a0005),70342(D0015),70343(D0016)	lemma/86828
abacus	N2	m	NcB	4	1	0	1	0	3	19(a0006),70333(D0018),70334(D0019),70332(D0017)	lemma/86829
abaliud	I		X--	2	1	0	1	0	1	70353(D0022),24(a0016)	lemma/86841
abamita	N1	f	NcA	2	1	0	1	0	1	27(a0019),70355(D0024)	lemma/86844
abante	I		X--	2	1	0	1	0	1	70361(D002C),28(a0020)	lemma/86845
abarca	N1	f	NcA	2	1	0	0	0	2	70364(D002F),70363(D002E)	lemma/26003
abarceo	V2		VmG	2	1	0	1	0	1	29(a0021),146922(D002H)	lemma/86847
abasso	V1		VmF	2	1	0	0	0	2	151488(D0039),151489(D003A)	lemma/26014
abbadia	N1	f	NcA	2	1	0	0	0	2	70393(D0052),70394(D0053)	lemma/26042
abbatia	N1	f	NcA	2	1	0	1	0	1	70401(D005C),37(a0011)	lemma/86836
abbatitura	N1	f	NcA	2	1	0	0	0	2	70405(D005F),70406(D005G)	lemma/26052
abbreuiator	N3B	m	NcC	2	1	0	1	0	1	41(a0029),70429(D007A)	lemma/86855
abbreuio	V1		VmF	2	1	0	1	0	1	70430(D0078),42(a0030)	lemma/86856
abdico	V1		VmF	5	1	0	1	0	4	70450(D008G),70448(D008E),70447(D008D),70449(D008F),47(a0034)	lemma/86860
abduco	V3		VmH	3	1	0	1	0	2	70465(D009G),70464(D009F),53(a0040)	lemma/86867
abductio	N3B	f	NcC	2	1	0	1	0	1	54(a9040),70466(D009H)	lemma/91076
abecedarius	N2/1	*	Af-	2	1	0	1	0	1	58(a0041),70469(D00A6)	lemma/86868
abemo	V3		VmH	2	1	0	1	0	1	59(a0042),146926(D00B1)	lemma/86872
abergo	V1		VmF	2	1	0	0	0	2	70492(D00BF),70493(D00BE)	lemma/26142
aberro	V1		VmF	2	1	0	1	0	1	63(a0046),146927(D00BH)	lemma/86876
abeuragium	N2	n	NcB	2	1	0	0	0	2	70509(D00CF),70508(D00CE)	lemma/26155
abicio	V5		VmM	4	1	0	1	0	3	70535(D00E7),70534(D00E6),70536(D00E8),70(a0053)	lemma/86884
abiectio	N3B	f	NcC	2	1	0	1	0	1	70540(D00EE),71(a0054)	lemma/86885
abietarius	N2	m	NcB	2	1	0	1	0	1	75(a0058),70544(D00F3)	lemma/86890
abiga	N1	f	NcA	2	1	0	1	0	1	70546(D00F5),77(a0059)	lemma/86891
abigeator	N3B	m	NcC	2	1	0	1	0	1	70556(D00F9),78(a0060)	lemma/86892
abigeus	N2	m	NcB	2	1	0	1	0	1	70552(D00G2),81(a0062)	lemma/86894
abigo	V3		VmH	4	1	0	1	0	3	70550(D00G0),70548(D00FF),70549(D00FG),82(a0063)	lemma/86895
abinde	I		X--	2	1	0	1	0	1	70571(D00GE),83(a0064)	lemma/86896
abita	N1	f	NcA	2	1	0	0	0	2	70589(D00HG),70590(D00HH)	lemma/26228
abitio	N3B	f	NcC	2	1	0	1	0	1	84(a0065),70591(D0101)	lemma/86897
abiudico	V1		VmF	4	1	0	1	0	3	70594(D0104),70593(D0103),70595(D0102),87(a0067)	lemma/86899
abiugo	V1		VmF	2	1	0	1	0	1	151860(D0106),88(a0068)	lemma/86900
abiuratio	N3B	f	NcC	3	1	0	1	0	2	91(a0070),70600(D010D),70599(D010C)	lemma/86902
abiuro	V1		VmF	3	1	0	1	0	2	94(a0073),70598(D010A),70597(D010B)	lemma/86905
ablactatio	N3B	f	NcC	2	1	0	1	0	1	70603(D0112),95(a0074)	lemma/86906
ablacto	V1		VmF	2	1	0	1	0	1	96(a0075),146931(D0111)	lemma/86907
ablaqueo	V1		VmF	2	1	0	1	0	1	98(a0077),146935(D0116)	lemma/86909
ablatiuus	N2/1	*	Af-	2	1	0	1	0	1	101(a0079),70610(D011B)	lemma/86911
ablator	N3B	m	NcC	2	1	0	1	0	1	70611(D011C),102(a0080)	lemma/86913
ablegatio	N3B	f	NcC	2	1	0	1	0	1	105(a0081),70613(D011H)	lemma/86914
ablegmina	N3B	n	NcC	2	1	0	1	0	1	70614(D0120),106(a0082)	lemma/86915
ablingo	V3		VmH	2	1	0	1	0	1	146936(D012B),113(a0089)	lemma/86922
abluo	V3		VmH	3	1	0	1	0	2	70629(D012G),70630(D012H),116(a9091)	lemma/91082
ablutio	N3B	f	NcC	2	1	0	1	0	1	70633(D0133),117(a0092)	lemma/86925
abluuio	N3B	f	NcC	2	1	0	1	0	1	119(a0094),70634(D0135)	lemma/86927
abnato	V1		VmF	2	1	0	1	0	1	146937(D0138),122(a0097)	lemma/86930
abnegatio	N3B	f	NcC	2	1	0	1	0	1	123(a0098),70637(D013A)	lemma/86931
abnego	V1		VmF	2	1	0	1	0	1	126(a0101),146938(D0139)	lemma/86934
abnormis	N3A	*	Af-	2	1	0	1	0	1	70639(D013D),130(a0106)	lemma/86940
abnormitas	N3B	f	NcC	2	1	0	1	0	1	131(a0107),70640(D013E)	lemma/86941
abocator	N3B	m	NcC	2	1	0	0	0	2	70645(D0141),70644(D0140)	lemma/26268
abolefio	VA		VmN	2	1	0	1	0	1	140(a0144),70650(D0147)	lemma/86982
aboleo	V2		VmG	2	1	0	1	0	1	70652(D014A),141(a0116)	lemma/86951
abolesco	V3		VmH	2	1	0	1	0	1	142(a1752),149754(D014B)	lemma/88756
abolla	N1	f	NcA	2	1	0	1	0	1	146(a0119),70654(D014E)	lemma/86954
abomagium	N2	n	NcB	2	1	0	0	0	2	70657(D014H),70658(D0150)	lemma/26279
